item_ord,dim_cve_key
26,12a36c945bb4c8ef3caa9659cf477c60
83,05cd79e3d2de6eeacbaf13fffd56b97a
84,c56c7509fd0ce3e1d15cf537391f17ed
165,f92a44950bcebdb3e616158364da259d
166,09b67e1b5eb9cad52ab3e12e048c1423
212,6ee08edeecdf54f26dce717a9c4afafb
213,5b69cf8a895b085e4e3f25201096eacb
214,e9c84f2a54b575341381837112a2fb16
272,ae4dfc96b8a43928bce55a425db33b22
331,bf41945ac67302fa56604c3d241d2717
383,55238d312c5e4c12f30044da45231fa0
396,5b69cf8a895b085e4e3f25201096eacb
432,fa978439e440699e66ab6cd47dc5556f
433,8667f101288f51be6c4d2c49a0adf48f
434,068931a4d1fe76df88c5d16ff0208588
435,762a46523bcb117a6e9d36638d16a08d
478,068931a4d1fe76df88c5d16ff0208588
485,230247c47e7b21d53eb0777005acc0f9
532,230247c47e7b21d53eb0777005acc0f9
533,33c9b8a5ecc703d6e2d593cf25c89950
570,785d6941a9846e7b879fb1c133288fb3
570,cde8b087d9fc0a26d66b1f0b0761382c
571,aaba8e7456cedaf696f5155c450731a2
572,aede4a0e03c7cda1ff8f0ace95c9e781
572,bf0bf534da72c831cffe3e21cb6ef072
624,ca5dc57cb2adc66e9f93db0842da0eca
625,9aaa4b86b928946e5d2538940fd38ac2
678,8029c87eff00ba3b6af4a7c705c85bb3
679,363a952a0f34c5651d3344502a356566
680,22de8cfd14b555ee6bdbfe7e5684ec28
681,162faeb8eac9237985df214175da67f2
718,162faeb8eac9237985df214175da67f2
722,bfcf27736ba561da1e8154879d151cdc
723,677104e447ed036a67e50efc922653e3
724,677104e447ed036a67e50efc922653e3
725,16b8fecf251709d2495bf11c95f00bb3
726,3c55a44125b795b7624ce457152b72ec
727,9ab901b9e07a77b46f32c5df8e9b0eca
728,2598390ebf8ff5035be4c9d9a5fa8c71
729,47045a6bac926783210b6257e0d909b3
730,677104e447ed036a67e50efc922653e3
731,677104e447ed036a67e50efc922653e3
732,dba3325f262c3ac505ff44da9918c098
764,974c10353b4f39101842d78d2632b7e6
765,1babeb2995efd3b75635d81d807fecd7
766,56f6f74233d26f01278d18c29e8d5d97
767,11b08b34ebe839a84b39f3044993f1b7
768,1488f0961f732472b55213f1382d38f9
769,b195b0c190b21e575007d889aeffa279
770,a8e2f7cfa881256ee5d261f1dcf01d4b
771,f6e4b93dc6380334199e79ff71889f21
772,e94f0d93a38a0ed5ae81ac8639337ce7
773,73b652c1b2864d1bf0dfd5b7f628d018
774,ae0e068b92f1603b643f9f50d5b07338
775,0ea6c1a89686becf900f2e0177e0285a
776,fdf80bdfe5ece9e86dbbf4f5f363fb9c
777,5443b2328327ac31ba58b0744beba23a
778,b9d4cc68b9aa67b02345695dcd0ed9ea
779,d582f2ee842089901079816f0db02f0d
780,23ee051029b8108cb9a9bf45fb2b547f
781,291b099a0d95bf77f847c76585cef01c
782,a6ddf2a004fe163c6a3515a21c32b0e3
783,2b6a557a6eccfe5ccb7da0d9bd921a57
783,aaba8e7456cedaf696f5155c450731a2
784,0ec0d8d9f63c1028e5a6952899e73126
785,ff804265a1748d27d4e15919ea35e3e5
786,5e3fedc9f7496281744d79789c103059
786,677104e447ed036a67e50efc922653e3
787,84d2f3e04f3158d172f5645f54c8e081
788,575e8560f9cb102cf2de080182788480
789,9392fda0c6d761aad3bad37089676d4a
790,42e519e4b8dcaca632d3f1f537268785
791,59a47b5a6afb5f26478b7f23e3511096
848,dba3325f262c3ac505ff44da9918c098
1426,832d10d379faffa85293e8ed63734b3b
1946,68c3777bcdab005450ba10c4f57a63a3
2166,049951abf17cbb4416b4730b765b9630
2238,049951abf17cbb4416b4730b765b9630
2250,107d919442eb6717f3031044f759d79a
