bug_number,reported_dt,subject,thread_message_cnt,is_acted_upon,linked_via,first_commit_dt,days_to_commit
17208,2021-10-01,"BUG #17208: Download fails when running 'yum install postgresql96'",3,false,,,
17209,2021-10-01,"BUG #17209: The latest pgdg-redhat-repo-latest.noarch has incorrect path for pgdg14",2,false,,,
17210,2021-10-01,"BUG #17210: Postgres Let'sEncrypt root certificate is expired and breaks installation of postgres-client",2,false,,,
17211,2021-10-01,"BUG #17211: Partitioned index partition does not inherit table partition tablespace",2,false,,,
17212,2021-10-02,"BUG #17212: pg_amcheck fails on checking temporary relations",83,true,both,2021-10-12,10
17213,2021-10-04,"BUG #17213: Wrong result from a query involving Merge Semi Join and Memoize",10,true,both,2021-11-24,51
17214,2021-10-05,"BUG #17214: HammerDB-v4.2-TPCH build schema error for virtual users.",2,false,,,
17215,2021-10-05,"BUG #17215: ltree tests failing in REL_14_STABLE / commit cb8a5a588",5,false,,,
17216,2021-10-06,"BUG #17216: No Password Provided Error - uncaught exception",4,false,,,
17217,2021-10-06,"BUG #17217: PANIC: stuck spinlock detected at LockBufHdr, bufmgr.c:4297",1,false,,,
17218,2021-10-11,"BUG #17218: Cluster recovery is not working properly.",3,false,,,
17219,2021-10-11,"BUG #17219: Create table not working",1,false,,,
17220,2021-10-11,"BUG #17220: ALTER INDEX ALTER COLUMN SET (..) with an optionless opclass makes index and table unusable",16,true,discussion_link,2021-10-19,8
17221,2021-10-11,"BUG #17221: Data sending resume",2,false,,,
17223,2021-10-12,"BUG #17223: Foreign key SET NULL depends on constraints order",1,false,,,
17224,2021-10-12,"BUG #17224: Postgres Yum repo mirror has expired SSL certificate",4,false,,,
17225,2021-10-12,"BUG #17225: Query with CTE failed after upgrade Postgres from 11 to 12/13",3,false,,,
17226,2021-10-13,"BUG #17226: hot standby mode, create database and drop database cause standby restrat failed",2,false,,,
17227,2021-10-13,"BUG #17227: segmentation fault with jsonb_to_recordset",7,true,both,2021-10-14,1
17228,2021-10-13,"BUG #17228: Adding 'syslog' to log_destination causes postgres service throw an error when restarted.",1,false,,,
17229,2021-10-13,"BUG #17229: Segmentation Fault after upgrading to version 13",14,false,,,
17230,2021-10-14,"BUG #17230: The postmaster has commanded this server process to roll back the current transaction and exit, beca",2,false,,,
17231,2021-10-15,"BUG #17231: ERROR: tuple concurrently updated",2,false,,,
17232,2021-10-15,"BUG #17232: DISTINCT ON does not allow AS",3,false,,,
17233,2021-10-16,"BUG #17233: Incorrect behavior of DELETE command with bad subquery in WHERE clause",16,true,both,2022-11-22,402
