bug_number,reporter_person_key,reported_date_key,reported_dt,subject,thread_message_cnt,thread_size_window,is_acted_upon,outcome,linked_via,first_commit_dt,days_to_commit,days_to_commit_window,earliest_ship_release_dt
17208,0e9a82d4ab143742a23ad31640810fc4,20211001,2021-10-01,"BUG #17208: Download fails when running 'yum install postgresql96'",3,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17209,6758915a754a7a786232f301172c76d3,20211001,2021-10-01,"BUG #17209: The latest pgdg-redhat-repo-latest.noarch has incorrect path for pgdg14",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17210,d169336c1d2c08a2d9d8022115c2c9a0,20211001,2021-10-01,"BUG #17210: Postgres Let'sEncrypt root certificate is expired and breaks installation of postgres-client",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17211,5244f13ba85ba51627bf23a86a800e5f,20211001,2021-10-01,"BUG #17211: Partitioned index partition does not inherit table partition tablespace",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17212,8d353a4c5a84c5049abfc94b13c17ae1,20211002,2021-10-02,"BUG #17212: pg_amcheck fails on checking temporary relations",83,4: 11+ messages,true,linked to a fix commit,both,2021-10-12,10,3: within a month,2021-11-11
17213,1744b15862933e61cce5d05090f86547,20211004,2021-10-04,"BUG #17213: Wrong result from a query involving Merge Semi Join and Memoize",10,3: 4-10 messages,true,linked to a fix commit,both,2021-11-24,51,4: within 6 months,2021-11-11
17214,8a67829c7a29400054ae946249694a9b,20211005,2021-10-05,"BUG #17214: HammerDB-v4.2-TPCH build schema error for virtual users.",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17215,d3ac1d7e211dd0d7337a0749b8eb65f3,20211005,2021-10-05,"BUG #17215: ltree tests failing in REL_14_STABLE / commit cb8a5a588",5,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17216,fa7c71b8eafb4ee124509e935c067bb3,20211006,2021-10-06,"BUG #17216: No Password Provided Error - uncaught exception",4,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17217,4a95b4336c4030af1f25ed97442ed111,20211006,2021-10-06,"BUG #17217: PANIC: stuck spinlock detected at LockBufHdr, bufmgr.c:4297",1,1: no replies,false,no linked commit,,,,,2021-11-11
17218,0c37f7fd409c28edf5c05d538fc4e16e,20211011,2021-10-11,"BUG #17218: Cluster recovery is not working properly.",3,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17219,6804532aa0921d661d610b7415b75025,20211011,2021-10-11,"BUG #17219: Create table not working",1,1: no replies,false,no linked commit,,,,,2021-11-11
17220,f31a58fe1776f6e8de7c3e5c84a1899e,20211011,2021-10-11,"BUG #17220: ALTER INDEX ALTER COLUMN SET (..) with an optionless opclass makes index and table unusable",16,4: 11+ messages,true,linked to a fix commit,discussion_link,2021-10-19,8,3: within a month,2021-11-11
17221,32ccc78703a1c11a7ec79b5f070860f8,20211011,2021-10-11,"BUG #17221: Data sending resume",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17223,199d25aa5151752103122d6060757485,20211012,2021-10-12,"BUG #17223: Foreign key SET NULL depends on constraints order",1,1: no replies,false,no linked commit,,,,,2021-11-11
17224,2e4da88e803448202a8076ac2d3f98e5,20211012,2021-10-12,"BUG #17224: Postgres Yum repo mirror has expired SSL certificate",4,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17225,6d1e63821da3ffa84b6d1bc816cd5960,20211012,2021-10-12,"BUG #17225: Query with CTE failed after upgrade Postgres from 11 to 12/13",3,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17226,84b4e97c46d649afb77d81fbf3ed4e03,20211013,2021-10-13,"BUG #17226: hot standby mode, create database and drop database cause standby restrat failed",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17227,8c4c0f6e2a311eb34d48174df24ec6f2,20211013,2021-10-13,"BUG #17227: segmentation fault with jsonb_to_recordset",7,3: 4-10 messages,true,linked to a fix commit,both,2021-10-14,1,1: same/next day,2021-11-11
17228,f32443f599a0be86748c795a09d02c31,20211013,2021-10-13,"BUG #17228: Adding 'syslog' to log_destination causes postgres service throw an error when restarted.",1,1: no replies,false,no linked commit,,,,,2021-11-11
17229,b84ec106754fb7c004f1d6d47f2e20ab,20211013,2021-10-13,"BUG #17229: Segmentation Fault after upgrading to version 13",14,4: 11+ messages,false,no linked commit,,,,,2021-11-11
17230,da361360496d08358f5bbaa0ae859c5a,20211014,2021-10-14,"BUG #17230: The postmaster has commanded this server process to roll back the current transaction and exit, beca",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17231,ab4a6687fa7a850fa849999adb7d1bb9,20211015,2021-10-15,"BUG #17231: ERROR: tuple concurrently updated",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17232,461e5ad3902c8183ba50fd31cb630b46,20211015,2021-10-15,"BUG #17232: DISTINCT ON does not allow AS",3,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17233,ae2a893f4c51a7ce3c9584ecd9f17ba3,20211016,2021-10-16,"BUG #17233: Incorrect behavior of DELETE command with bad subquery in WHERE clause",16,4: 11+ messages,true,linked to a fix commit,both,2022-11-22,402,5: longer,2021-11-11
17235,40cfb916bdb4270361d3436cf67e1b93,20211018,2021-10-18,"BUG #17235: PQsendQuery (with two sql) after PQenterPipelineMode cause ERROR",8,3: 4-10 messages,true,linked to a fix commit,discussion_link,2021-11-05,18,3: within a month,2021-11-11
17236,bfd3151d15d37ec642473cc8d97af398,20211018,2021-10-18,"BUG #17236: Postgres core on pstate->p_multiassign_exprs",3,2: 2-3 messages,true,linked to a fix commit,both,2021-10-19,1,1: same/next day,2021-11-11
17237,acac6e20d4fd1aa8589d0467b0c6ba94,20211019,2021-10-19,"BUG #17237: set_config: Custom parameter names must be two or more simple identifiers separated by dots.",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17238,f63c38ea4fdc4bb776ee39ade06722ce,20211019,2021-10-19,"BUG #17238: Link to ""Using EXPLAIN"" in the ""EXPLAIN"" documentation",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17240,96edfb76e466483098c6d0de73b309cc,20211021,2021-10-21,"BUG #17240: <timestamptz> at time zone ... ; wrong result",5,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17241,e97d3835b8e9d1f7517b01a455cefecb,20211021,2021-10-21,"BUG #17241: llvm::install_bad_alloc_error_handler error",3,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17242,fef22b98752fd20b08d50aec94614ab1,20211021,2021-10-21,"BUG #17242: Postgis 2.5 fails to install and fails to load due to broken gdal32-libs RPM",1,1: no replies,false,no linked commit,,,,,2021-11-11
17243,f47ae51bc642352acf1d905310b1cb4f,20211022,2021-10-22,"BUG #17243: explain wtih recursive cte error?",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17244,9e5bd0de424c807f820b3340274de428,20211022,2021-10-22,"BUG #17244: strange string to timestamp with time zone conversion due to summer time / winter time switch ?",3,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17245,eefa13e3fc3b8c4ae96144bbb2e63f2b,20211024,2021-10-24,"BUG #17245: Index corruption involving deduplicated entries",103,4: 11+ messages,true,linked to a fix commit,both,2021-10-27,3,2: within a week,2021-11-11
17246,dfafe3cef3f0296e6e5b4769befad9d4,20211025,2021-10-25,"BUG #17246: Feature request for adoptive indexes",5,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17247,9c69a30dd0abf7b742ec018854cab1b8,20211025,2021-10-25,"BUG #17247: How to avoid crating multiple Foreign keys on same column on same table.",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17248,b9f148633d0b84c62ed72a479fa3383a,20211027,2021-10-27,"BUG #17248: Installation fails...",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17249,43c5c1608c8426ce052fa74f51bf6467,20211027,2021-10-27,"BUG #17249: Bug in .pgpass search and/or documentation thereof, Ubuntu 13.4-4",5,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17250,9d8d1c2e784843f3135c7fb986cffa9b,20211028,2021-10-28,"BUG #17250: libboost_thread.so.1.75.0 is missing when installing PostGIS 3.1",1,1: no replies,false,no linked commit,,,,,2021-11-11
17251,023b667e4f003afcb5aa271b3133a679,20211028,2021-10-28,"BUG #17251: Download Link Page Displaying Weirdly",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17252,e124c610b60088668ffadfc25585d64f,20211028,2021-10-28,"BUG #17252: Alter Column Length with dependent Views",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17253,b0611d64a154cfd4365a044f0e9be19d,20211029,2021-10-29,"BUG #17253: Composite partition table configuration error",1,1: no replies,false,no linked commit,,,,,2021-11-11
17254,d3afca99eaaff73f220c8c9dc0e2eae5,20211029,2021-10-29,"BUG #17254: Crash with 0xC0000409 in pg_stat_statements when pg_stat_tmp\pgss_query_texts.stat exceeded 2GB.",11,4: 11+ messages,true,linked to a fix commit,both,2021-10-31,2,2: within a week,2021-11-11
17255,8d353a4c5a84c5049abfc94b13c17ae1,20211029,2021-10-29,"BUG #17255: Server crashes in index_delete_sort_cmp() due to race condition with vacuum",90,4: 11+ messages,true,linked to a fix commit,both,2022-01-14,77,4: within 6 months,2021-11-11
17256,dfc0d8c9d9abab0aeaa9a24542cc97d2,20211029,2021-10-29,"BUG #17256: Running pgagent on a custom user",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17257,8d353a4c5a84c5049abfc94b13c17ae1,20211029,2021-10-29,"BUG #17257: (auto)vacuum hangs within lazy_scan_prune()",43,4: 11+ messages,false,no linked commit,,,,,2021-11-11
17258,c219520243e15135d8a92ec43df13970,20211029,2021-10-29,"BUG #17258: Unexpected results in CHAR(1) data type",19,4: 11+ messages,false,no linked commit,,,,,2021-11-11
