dim_major_key,week_start,commit_hash,code_lines,doc_lines,test_lines,file_cnt
6f4922f45568161a8cdf4ad2299f6d23,2025-09-22,78a284b0b8d4add8457325b74144bd762156cb0e,2347335,326780,189254,4070
6f4922f45568161a8cdf4ad2299f6d23,2025-09-29,d83879a32b481f0e23cd8a14f7849cff3f8898b5,2347439,326780,189313,4070
6f4922f45568161a8cdf4ad2299f6d23,2025-10-06,9de72704e060720c58f75a715e3f217ad8635276,2347535,326780,189335,4070
6f4922f45568161a8cdf4ad2299f6d23,2025-10-13,aa1fcd087e5f709505aa0b9e15c1f3a0ce8b826c,2347673,326778,189336,4070
6f4922f45568161a8cdf4ad2299f6d23,2025-10-20,a2387c32f2f8a1643c7d71b951587e6bcb2d4744,2347856,326768,189404,4070
6f4922f45568161a8cdf4ad2299f6d23,2025-10-27,6c3b1df878a65bb76e21ed640add30391db8f1d7,2347949,326768,189432,4070
6f4922f45568161a8cdf4ad2299f6d23,2025-11-03,5632d2f5deca271af7dd26a8e2a4a28f45f003dd,2349350,327912,189512,4070
6f4922f45568161a8cdf4ad2299f6d23,2025-11-10,bcfca332f100061e056283f237df009f570aff8b,2350042,328094,189617,4071
6f4922f45568161a8cdf4ad2299f6d23,2025-11-17,912cfa3146ce4891671c34207177fd36bd155c09,2350079,328100,189627,4071
6f4922f45568161a8cdf4ad2299f6d23,2025-11-24,4061992ea83adbfc6b0e4fa202d314ace83a2458,2350199,328114,189685,4071
6f4922f45568161a8cdf4ad2299f6d23,2025-12-01,18b349315ae7e00261732f514d6c91d713bb77d0,2350257,328114,189631,4071
6f4922f45568161a8cdf4ad2299f6d23,2025-12-08,580b5c2f397fbb2f74c2661cfe53203ed6acead0,2350642,328113,189957,4073
6f4922f45568161a8cdf4ad2299f6d23,2025-12-15,a7d06e74d51209702fe0712214aac07f863ec36a,2350819,328117,189957,4073
6f4922f45568161a8cdf4ad2299f6d23,2025-12-22,61c78e1f494cc737807c9fa7f1de0d8c39b53428,2351017,328123,190031,4073
6f4922f45568161a8cdf4ad2299f6d23,2025-12-29,789016be8ef015f65e9f76e5a58945b7b93f17b7,2351287,328123,190087,4073
6f4922f45568161a8cdf4ad2299f6d23,2026-01-05,56e1f501010fc79fd1d11df6fd04eec463d40319,2351384,328125,190125,4073
6f4922f45568161a8cdf4ad2299f6d23,2026-01-12,6574bee6459e73c42816ac7ec16e6b6b6197000c,2351467,328136,190125,4073
6f4922f45568161a8cdf4ad2299f6d23,2026-01-19,c6ce4dcf9d3b7a8a89aca386124c473f98fc329e,2351753,328151,190169,4074
6f4922f45568161a8cdf4ad2299f6d23,2026-01-26,d5a4856ffe1815774ba4dc46a6fa453e856f72a3,2351951,328151,190255,4074
6f4922f45568161a8cdf4ad2299f6d23,2026-02-02,b0f5d25bc3679afaed69d367c72efd387c763d04,2354947,329779,190639,4079
6f4922f45568161a8cdf4ad2299f6d23,2026-02-09,6e045e1a6e3f1a55d3d246f8258f3316410b26f6,2355604,329994,190660,4079
6f4922f45568161a8cdf4ad2299f6d23,2026-02-16,24a590112cfbdac79f98472170c68b944e3a0b07,2355927,330273,190693,4079
6f4922f45568161a8cdf4ad2299f6d23,2026-02-23,c2c1962a64b547412c88fa2728e4fa35e65f4c90,2356028,330274,190699,4080
6f4922f45568161a8cdf4ad2299f6d23,2026-03-02,3a9cf1c925a0430264be3bd993f10b75c408b05e,2356622,330278,191200,4084
6f4922f45568161a8cdf4ad2299f6d23,2026-03-09,0e5ff9b9b45a657aea12440478dc002e9b01f138,2356780,330280,191259,4084
6f4922f45568161a8cdf4ad2299f6d23,2026-03-16,5f9642614275a56c93774ce536feaa4c27ee2525,2356802,330280,191270,4084
6f4922f45568161a8cdf4ad2299f6d23,2026-03-23,5095f3f4a0dc2a91d1580598a4da8790a44aa7d2,2356883,330280,191270,4084
6f4922f45568161a8cdf4ad2299f6d23,2026-03-30,5079e420b92db58412f2af03c728ff1640bdc103,2357131,330286,191354,4084
6f4922f45568161a8cdf4ad2299f6d23,2026-04-06,b081c5b07309e5f95fec90eef5041bcc7a25a794,2357558,330286,191494,4084
6f4922f45568161a8cdf4ad2299f6d23,2026-04-13,7a8c4344f749418ec8d7f4d51a6073696526217e,2357704,330287,191613,4085
6f4922f45568161a8cdf4ad2299f6d23,2026-04-20,8a431b6d676b2279670fb7771115ce71618e1377,2358251,330291,191881,4085
6f4922f45568161a8cdf4ad2299f6d23,2026-04-27,ac3b97db380ad6295e6fe582c64dd80ae32d4b94,2358818,330296,191989,4087
6f4922f45568161a8cdf4ad2299f6d23,2026-05-04,122adefc94a4dc4e97b4fd5c3328e7dc5b58ebd0,2360605,331656,192144,4087
6f4922f45568161a8cdf4ad2299f6d23,2026-05-11,dc3db3a8349bd164354ef5b6c94d1c0c2adc651c,2362292,332172,192572,4089
6f4922f45568161a8cdf4ad2299f6d23,2026-05-18,b903d17927eecab8dd741eb71f04eee5a1182eff,2362329,332172,192596,4090
6f4922f45568161a8cdf4ad2299f6d23,2026-05-25,380a8b2ea024c33a35e7abc8628e7c4f52f9f9f9,2362739,332177,192721,4091
6f4922f45568161a8cdf4ad2299f6d23,2026-06-01,2b09f8a9110a5de217fa59dfb3215686def7dc36,2362721,332177,192804,4091
6f4922f45568161a8cdf4ad2299f6d23,2026-06-08,b4db796b192cdbe6a78c8e3ef3d235c236e09528,2363078,332219,192939,4091
6f4922f45568161a8cdf4ad2299f6d23,2026-06-15,aa80c34c85f4eb81d515f341b663bd196d18837c,2363443,332219,193029,4091
6f4922f45568161a8cdf4ad2299f6d23,2026-06-22,5fd1c3f287189cfa4bff4ac3492c313417dff7c9,2363692,332220,193041,4091
6f4922f45568161a8cdf4ad2299f6d23,2026-06-29,a7f7958ab6bf368236334ce52e45be5e7502d2e7,2364247,332227,193099,4092
6f4922f45568161a8cdf4ad2299f6d23,2026-07-06,d1d9688b1f92590110cb868ce4f65f39da0af2a8,2365511,332228,193553,4092
6f4922f45568161a8cdf4ad2299f6d23,2026-07-13,21f5e659e7587abf640f9c4aaff2238e3c3ff683,2366518,332236,193612,4093
