report_month_dt,month_date_key,report_cnt,acted_upon_cnt,acted_upon_pct,days_to_commit_median
2021-10-01,20211001,49,10,20.4,9.0
2021-11-01,20211101,36,7,19.4,8.0
2021-12-01,20211201,37,10,27.0,18.0
2022-01-01,20220101,34,11,32.4,5.0
2022-02-01,20220201,25,8,32.0,6.5
2022-03-01,20220301,25,3,12.0,137.0
2022-04-01,20220401,14,2,14.3,1.0
2022-05-01,20220501,26,10,38.5,4.5
2022-06-01,20220601,25,5,20.0,5.0
2022-07-01,20220701,25,4,16.0,244.5
2022-08-01,20220801,35,7,20.0,2.0
2022-09-01,20220901,19,5,26.3,20.0
2022-10-01,20221001,41,4,9.8,0.0
2022-11-01,20221101,28,8,28.6,1.0
2022-12-01,20221201,28,5,17.9,1.0
2023-01-01,20230101,27,4,14.8,3.5
2023-02-01,20230201,43,17,39.5,5.0
2023-03-01,20230301,63,24,38.1,1.5
2023-04-01,20230401,29,11,37.9,5.0
2023-05-01,20230501,37,7,18.9,98.0
2023-06-01,20230601,52,14,26.9,2.5
2023-07-01,20230701,26,5,19.2,7.0
2023-08-01,20230801,26,5,19.2,24.0
2023-09-01,20230901,50,12,24.0,5.0
2023-10-01,20231001,28,7,25.0,19.0
2023-11-01,20231101,38,7,18.4,3.0
2023-12-01,20231201,40,12,30.0,8.0
2024-01-01,20240101,48,13,27.1,10.0
2024-02-01,20240201,51,11,21.6,1.0
2024-03-01,20240301,41,6,14.6,2.0
2024-04-01,20240401,26,4,15.4,7.0
2024-05-01,20240501,32,9,28.1,7.0
2024-06-01,20240601,33,10,30.3,8.5
2024-07-01,20240701,27,9,33.3,6.0
2024-08-01,20240801,32,7,21.9,3.0
2024-09-01,20240901,41,12,29.3,6.0
2024-10-01,20241001,38,9,23.7,3.0
2024-11-01,20241101,40,6,15.0,3.5
2024-12-01,20241201,26,2,7.7,27.5
2025-01-01,20250101,25,5,20.0,1.0
2025-02-01,20250201,36,3,8.3,7.0
2025-03-01,20250301,43,13,30.2,9.0
2025-04-01,20250401,34,12,35.3,2.0
2025-05-01,20250501,33,7,21.2,18.0
2025-06-01,20250601,28,9,32.1,7.0
2025-07-01,20250701,29,8,27.6,2.0
2025-08-01,20250801,30,5,16.7,4.0
2025-09-01,20250901,27,5,18.5,2.0
2025-10-01,20251001,27,8,29.6,8.5
2025-11-01,20251101,25,3,12.0,3.0
2025-12-01,20251201,26,9,34.6,13.0
2026-01-01,20260101,20,2,10.0,3.0
2026-02-01,20260201,29,6,20.7,11.0
2026-03-01,20260301,26,4,15.4,4.5
2026-04-01,20260401,20,4,20.0,32.0
2026-05-01,20260501,30,14,46.7,11.0
2026-06-01,20260601,35,11,31.4,6.0
2026-07-01,20260701,42,11,26.2,6.0
2026-08-01,20260801,46,12,26.1,2.5
