release_dt,dim_release_key,status,is_out_of_band,origin,fix_cnt,committed_fix_cnt,documentation_rate,projection_factor,projected_fix_cnt,fix_share
2021-11-11,dbd342bf889401ef27850f02400ed7c3,shipped,false,pgsql-bugs,16,21,0.761905,,,0.355556
2021-11-11,dbd342bf889401ef27850f02400ed7c3,shipped,false,pgsql-hackers,23,53,0.433962,,,0.511111
2021-11-11,dbd342bf889401ef27850f02400ed7c3,shipped,false,unknown_or_internal_not_security,4,18,0.222222,,,0.088889
2021-11-11,dbd342bf889401ef27850f02400ed7c3,shipped,false,unknown_or_internal_security,2,2,1.000000,,,0.044444
2022-02-10,7fdb94d944fa9b4ec8f39e9170f26ece,shipped,false,pgsql-bugs,24,36,0.666667,,,0.421053
2022-02-10,7fdb94d944fa9b4ec8f39e9170f26ece,shipped,false,pgsql-hackers,30,70,0.428571,,,0.526316
2022-02-10,7fdb94d944fa9b4ec8f39e9170f26ece,shipped,false,unknown_or_internal_not_security,3,32,0.093750,,,0.052632
2022-02-10,7fdb94d944fa9b4ec8f39e9170f26ece,shipped,false,unknown_or_internal_security,0,0,,,,0.000000
2022-05-12,9690ffbcc2702b682b8b7c44a877583e,shipped,false,pgsql-bugs,13,16,0.812500,,,0.254902
2022-05-12,9690ffbcc2702b682b8b7c44a877583e,shipped,false,pgsql-hackers,33,69,0.478261,,,0.647059
2022-05-12,9690ffbcc2702b682b8b7c44a877583e,shipped,false,unknown_or_internal_not_security,4,22,0.181818,,,0.078431
2022-05-12,9690ffbcc2702b682b8b7c44a877583e,shipped,false,unknown_or_internal_security,1,2,0.500000,,,0.019608
2022-06-16,7cdc36d758eec2751448266bca67920f,shipped,true,pgsql-bugs,10,12,0.833333,,,0.526316
2022-06-16,7cdc36d758eec2751448266bca67920f,shipped,true,pgsql-hackers,8,18,0.444444,,,0.421053
2022-06-16,7cdc36d758eec2751448266bca67920f,shipped,true,unknown_or_internal_not_security,1,11,0.090909,,,0.052632
2022-06-16,7cdc36d758eec2751448266bca67920f,shipped,true,unknown_or_internal_security,0,0,,,,0.000000
2022-08-11,30d790af5967d68d0dc1af24c052cc25,shipped,false,pgsql-bugs,13,18,0.722222,,,0.333333
2022-08-11,30d790af5967d68d0dc1af24c052cc25,shipped,false,pgsql-hackers,24,50,0.480000,,,0.615385
2022-08-11,30d790af5967d68d0dc1af24c052cc25,shipped,false,unknown_or_internal_not_security,1,19,0.052632,,,0.025641
2022-08-11,30d790af5967d68d0dc1af24c052cc25,shipped,false,unknown_or_internal_security,1,1,1.000000,,,0.025641
2022-11-10,e689c36b2ed92991eecb44650ef67992,shipped,false,pgsql-bugs,20,23,0.869565,,,0.425532
2022-11-10,e689c36b2ed92991eecb44650ef67992,shipped,false,pgsql-hackers,25,71,0.352113,,,0.531915
2022-11-10,e689c36b2ed92991eecb44650ef67992,shipped,false,unknown_or_internal_not_security,2,35,0.057143,,,0.042553
2022-11-10,e689c36b2ed92991eecb44650ef67992,shipped,false,unknown_or_internal_security,0,0,,,,0.000000
2023-02-09,1f43afe79c4f5f90d2e555ef65ec2716,shipped,false,pgsql-bugs,17,21,0.809524,,,0.288136
2023-02-09,1f43afe79c4f5f90d2e555ef65ec2716,shipped,false,pgsql-hackers,33,79,0.417722,,,0.559322
2023-02-09,1f43afe79c4f5f90d2e555ef65ec2716,shipped,false,unknown_or_internal_not_security,8,23,0.347826,,,0.135593
2023-02-09,1f43afe79c4f5f90d2e555ef65ec2716,shipped,false,unknown_or_internal_security,1,1,1.000000,,,0.016949
2023-05-11,14d8b6c36187f5adc35e95280a91c9cb,shipped,false,pgsql-bugs,42,48,0.875000,,,0.506024
2023-05-11,14d8b6c36187f5adc35e95280a91c9cb,shipped,false,pgsql-hackers,37,66,0.560606,,,0.445783
2023-05-11,14d8b6c36187f5adc35e95280a91c9cb,shipped,false,unknown_or_internal_not_security,2,11,0.181818,,,0.024096
2023-05-11,14d8b6c36187f5adc35e95280a91c9cb,shipped,false,unknown_or_internal_security,2,3,0.666667,,,0.024096
2023-08-10,086ceaa75240d0c8218ee8cd31103e84,shipped,false,pgsql-bugs,17,19,0.894737,,,0.346939
2023-08-10,086ceaa75240d0c8218ee8cd31103e84,shipped,false,pgsql-hackers,29,62,0.467742,,,0.591837
2023-08-10,086ceaa75240d0c8218ee8cd31103e84,shipped,false,unknown_or_internal_not_security,1,17,0.058824,,,0.020408
2023-08-10,086ceaa75240d0c8218ee8cd31103e84,shipped,false,unknown_or_internal_security,2,2,1.000000,,,0.040816
2023-11-09,3aa0dcd869a782cee2f08c40235e2762,shipped,false,pgsql-bugs,25,37,0.675676,,,0.347222
2023-11-09,3aa0dcd869a782cee2f08c40235e2762,shipped,false,pgsql-hackers,43,95,0.452632,,,0.597222
2023-11-09,3aa0dcd869a782cee2f08c40235e2762,shipped,false,unknown_or_internal_not_security,1,32,0.031250,,,0.013889
2023-11-09,3aa0dcd869a782cee2f08c40235e2762,shipped,false,unknown_or_internal_security,3,4,0.750000,,,0.041667
2024-02-08,ad89edc9dc5c9a74a8d3f9e6941f425d,shipped,false,pgsql-bugs,35,40,0.875000,,,0.492958
2024-02-08,ad89edc9dc5c9a74a8d3f9e6941f425d,shipped,false,pgsql-hackers,35,67,0.522388,,,0.492958
2024-02-08,ad89edc9dc5c9a74a8d3f9e6941f425d,shipped,false,unknown_or_internal_not_security,0,30,0.000000,,,0.000000
2024-02-08,ad89edc9dc5c9a74a8d3f9e6941f425d,shipped,false,unknown_or_internal_security,1,2,0.500000,,,0.014085
2024-05-09,740c1e0f22c109481cb0da8abe660ae0,shipped,false,pgsql-bugs,22,30,0.733333,,,0.379310
2024-05-09,740c1e0f22c109481cb0da8abe660ae0,shipped,false,pgsql-hackers,30,64,0.468750,,,0.517241
2024-05-09,740c1e0f22c109481cb0da8abe660ae0,shipped,false,unknown_or_internal_not_security,5,31,0.161290,,,0.086207
2024-05-09,740c1e0f22c109481cb0da8abe660ae0,shipped,false,unknown_or_internal_security,1,1,1.000000,,,0.017241
2024-08-08,54b845081bd089efb1f91a1b5a00304b,shipped,false,pgsql-bugs,25,32,0.781250,,,0.454545
2024-08-08,54b845081bd089efb1f91a1b5a00304b,shipped,false,pgsql-hackers,28,76,0.368421,,,0.509091
2024-08-08,54b845081bd089efb1f91a1b5a00304b,shipped,false,unknown_or_internal_not_security,1,17,0.058824,,,0.018182
2024-08-08,54b845081bd089efb1f91a1b5a00304b,shipped,false,unknown_or_internal_security,1,1,1.000000,,,0.018182
2024-11-14,941e22d8a4f291e3ef640e97c4354a02,shipped,false,pgsql-bugs,32,39,0.820513,,,0.463768
2024-11-14,941e22d8a4f291e3ef640e97c4354a02,shipped,false,pgsql-hackers,31,83,0.373494,,,0.449275
2024-11-14,941e22d8a4f291e3ef640e97c4354a02,shipped,false,unknown_or_internal_not_security,2,31,0.064516,,,0.028986
2024-11-14,941e22d8a4f291e3ef640e97c4354a02,shipped,false,unknown_or_internal_security,4,9,0.444444,,,0.057971
2024-11-21,9913f136f555e8d180895e7b13f3cc29,shipped,true,pgsql-bugs,6,7,0.857143,,,0.750000
2024-11-21,9913f136f555e8d180895e7b13f3cc29,shipped,true,pgsql-hackers,2,2,1.000000,,,0.250000
2024-11-21,9913f136f555e8d180895e7b13f3cc29,shipped,true,unknown_or_internal_not_security,0,1,0.000000,,,0.000000
2024-11-21,9913f136f555e8d180895e7b13f3cc29,shipped,true,unknown_or_internal_security,0,0,,,,0.000000
2025-02-13,4864ec4775ef5c58b98d9f148c2e9869,shipped,false,pgsql-bugs,23,35,0.657143,,,0.306667
2025-02-13,4864ec4775ef5c58b98d9f148c2e9869,shipped,false,pgsql-hackers,47,95,0.494737,,,0.626667
2025-02-13,4864ec4775ef5c58b98d9f148c2e9869,shipped,false,unknown_or_internal_not_security,4,20,0.200000,,,0.053333
2025-02-13,4864ec4775ef5c58b98d9f148c2e9869,shipped,false,unknown_or_internal_security,1,6,0.166667,,,0.013333
2025-02-20,5d3fad531dd3ceed47b48db21b213987,shipped,true,pgsql-bugs,0,0,,,,0.000000
2025-02-20,5d3fad531dd3ceed47b48db21b213987,shipped,true,pgsql-hackers,4,8,0.500000,,,1.000000
2025-02-20,5d3fad531dd3ceed47b48db21b213987,shipped,true,unknown_or_internal_not_security,0,1,0.000000,,,0.000000
2025-02-20,5d3fad531dd3ceed47b48db21b213987,shipped,true,unknown_or_internal_security,0,1,0.000000,,,0.000000
2025-05-08,745f1c86e5cdd8936f605bfc2f720903,shipped,false,pgsql-bugs,25,32,0.781250,,,0.396825
2025-05-08,745f1c86e5cdd8936f605bfc2f720903,shipped,false,pgsql-hackers,37,80,0.462500,,,0.587302
2025-05-08,745f1c86e5cdd8936f605bfc2f720903,shipped,false,unknown_or_internal_not_security,0,11,0.000000,,,0.000000
2025-05-08,745f1c86e5cdd8936f605bfc2f720903,shipped,false,unknown_or_internal_security,1,2,0.500000,,,0.015873
2025-08-14,b1036aa132d59c6301b245e14d25cebd,shipped,false,pgsql-bugs,20,22,0.909091,,,0.281690
2025-08-14,b1036aa132d59c6301b245e14d25cebd,shipped,false,pgsql-hackers,45,87,0.517241,,,0.633803
2025-08-14,b1036aa132d59c6301b245e14d25cebd,shipped,false,unknown_or_internal_not_security,3,35,0.085714,,,0.042254
2025-08-14,b1036aa132d59c6301b245e14d25cebd,shipped,false,unknown_or_internal_security,3,4,0.750000,,,0.042254
2025-11-13,c6d9135a49bdef377840c6e9b647981b,shipped,false,pgsql-bugs,24,23,1.043478,,,0.307692
2025-11-13,c6d9135a49bdef377840c6e9b647981b,shipped,false,pgsql-hackers,50,132,0.378788,,,0.641026
2025-11-13,c6d9135a49bdef377840c6e9b647981b,shipped,false,unknown_or_internal_not_security,2,20,0.100000,,,0.025641
2025-11-13,c6d9135a49bdef377840c6e9b647981b,shipped,false,unknown_or_internal_security,2,2,1.000000,,,0.025641
2026-02-12,cef63e90a9cb8fd660c730931ca1e05c,shipped,false,pgsql-bugs,16,18,0.888889,,,0.213333
2026-02-12,cef63e90a9cb8fd660c730931ca1e05c,shipped,false,pgsql-hackers,54,139,0.388489,,,0.720000
2026-02-12,cef63e90a9cb8fd660c730931ca1e05c,shipped,false,unknown_or_internal_not_security,1,24,0.041667,,,0.013333
2026-02-12,cef63e90a9cb8fd660c730931ca1e05c,shipped,false,unknown_or_internal_security,4,12,0.333333,,,0.053333
2026-02-26,40101526bfeb6f95bd7ee528cc8bffe0,shipped,true,pgsql-bugs,4,7,0.571429,,,0.444444
2026-02-26,40101526bfeb6f95bd7ee528cc8bffe0,shipped,true,pgsql-hackers,2,7,0.285714,,,0.222222
2026-02-26,40101526bfeb6f95bd7ee528cc8bffe0,shipped,true,unknown_or_internal_not_security,2,6,0.333333,,,0.222222
