dim_release_key,release_dt,projection_method,method_label,method_family,method_order,signal_value,scale_factor,projected_fix_cnt,low_fix_cnt,high_fix_cnt,assumption
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,blended,blended (equal weight),reference,9,,,43,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,committed_scaled,committed fixes,signal,7,23,0.984538,23,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,escalation,escalation,series,4,,,88,,,the latest release is the new base and growth continues at the fitted trend rate
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,message_scaled,list messages,signal,6,1937,0.018430,36,,,early list messages times the historical median shipped-fixes-per-early-message ratio
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,origin_scaled,committed fixes by origin,signal,8,23,,27,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,regime_repeat,regime repeat,series,3,,,83,,,whatever produced the latest release keeps delivering at that level
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,report_scaled,bug reports,signal,5,40,1.786939,71,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,reversion,reversion,series,1,,,48,40,56,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,seasonal_baseline,seasonal baseline,reference,10,,,39,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,trend,trend,series,2,,,72,,,"least-squares line through every earlier full-quarter release, extended one slot"
10fa0d573d632725421808674378f487,2026-08-13,blended,blended (equal weight),reference,9,,,74,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
10fa0d573d632725421808674378f487,2026-08-13,committed_scaled,committed fixes,signal,7,70,1.308347,92,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
10fa0d573d632725421808674378f487,2026-08-13,escalation,escalation,series,4,,,74,,,the latest release is the new base and growth continues at the fitted trend rate
