item_ord,wave_key,wave_dt,version,item_index,category,dominant_subsystem,is_out_of_band,branch_item_cnt,file_cnt,lines_added_sum,lines_deleted_sum,churn_sum,has_test_changes,is_docs_only,cve_cnt,scored_cve_cnt,max_cvss_base_score,severity_band,bug_link_cnt,primary_bug_number,days_to_fix_min
1,20221110,2022-11-10,15.1,0,Crash & corruption,core_server,false,1,1,12,6,18,false,false,,,,,1,17679,1
2,20221110,2022-11-10,15.1,1,Crash & corruption,core_server,false,1,3,98,28,126,true,false,,,,,1,17633,0
3,20221110,2022-11-10,15.1,2,Other functionality,core_server,false,1,1,12,0,12,false,false,,,,,1,17646,0
4,20221110,2022-11-10,15.1,3,Other functionality,core_server,false,1,4,208,1,209,true,false,,,,,1,17644,0
5,20221110,2022-11-10,15.1,4,Extensions & contrib,extensions_contrib,false,1,3,29,0,29,false,false,,,,,0,,
6,20221110,2022-11-10,15.1,5,Other functionality,core_server,false,1,2,40,10,50,true,false,,,,,0,,
7,20221110,2022-11-10,15.1,6,Wrong results & planner,core_server,false,1,3,18,4,22,true,false,,,,,0,,
8,20221110,2022-11-10,15.1,7,Replication & recovery,core_server,false,1,1,8,5,13,false,false,,,,,0,,
9,20221110,2022-11-10,15.1,8,Crash & corruption,extensions_contrib,false,1,4,78,0,78,false,false,,,,,0,,
10,20221110,2022-11-10,15.1,9,Replication & recovery,replication_recovery,false,1,1,2,0,2,false,false,,,,,1,17580,13
11,20221110,2022-11-10,15.1,10,Crash & corruption,replication_recovery,false,1,1,17,3,20,false,false,,,,,0,,
12,20221110,2022-11-10,15.1,11,Crash & corruption,core_server,false,1,1,15,5,20,false,false,,,,,0,,
13,20221110,2022-11-10,15.1,12,Replication & recovery,core_server,false,1,4,33,21,54,true,false,,,,,0,,
14,20221110,2022-11-10,15.1,13,Crash & corruption,planner,false,1,1,18,0,18,false,false,,,,,1,17646,0
15,20221110,2022-11-10,15.1,14,Crash & corruption,core_server,false,1,1,44,12,56,false,false,,,,,0,,
16,20221110,2022-11-10,15.1,15,Client tools,client_tools,false,1,3,70,7,77,true,false,,,,,0,,
17,20221110,2022-11-10,15.1,16,Client tools,client_tools,false,1,1,1,1,2,false,false,,,,,0,,
18,20221110,2022-11-10,15.1,17,Replication & recovery,core_server,false,1,2,34,20,54,false,false,,,,,0,,
19,20221110,2022-11-10,15.1,18,Client tools,client_tools,false,1,2,13,6,19,false,false,,,,,1,17675,0
20,20221110,2022-11-10,15.1,19,Client tools,core_server,false,1,4,37,3,40,false,false,,,,,1,17677,0
21,20221110,2022-11-10,15.1,20,Crash & corruption,extensions_contrib,false,1,1,14,2,16,false,false,,,,,1,17663,6
22,20221110,2022-11-10,15.1,21,Build & platform,build_platform,false,1,4,113,0,113,false,false,,,,,0,,
23,20221110,2022-11-10,15.1,22,Build & platform,core_server,false,1,1,44,23,67,false,false,,,,,0,,
24,20221110,2022-11-10,15.1,23,Build & platform,core_server,false,1,2,5,5,10,false,false,,,,,0,,
25,20221110,2022-11-10,15.1,24,Build & platform,core_server,false,1,1,7,7,14,false,false,,,,,0,,
26,20230209,2023-02-09,15.2,0,Security (CVE),client_tools,false,1,1,2,0,2,false,false,1,1,3.7,LOW,0,,
27,20230209,2023-02-09,15.2,1,Other functionality,core_server,false,1,4,50,17,67,true,false,,,,,0,,
28,20230209,2023-02-09,15.2,2,Other functionality,core_server,false,1,3,37,2,39,true,false,,,,,1,17759,5
29,20230209,2023-02-09,15.2,3,Other functionality,core_server,false,1,3,5,5,10,true,false,,,,,0,,
30,20230209,2023-02-09,15.2,4,Other functionality,core_server,false,1,1,2,1,3,false,false,,,,,0,,
31,20230209,2023-02-09,15.2,5,Other functionality,core_server,false,1,1,1,1,2,false,false,,,,,0,,
32,20230209,2023-02-09,15.2,6,Other functionality,core_server,false,1,3,129,73,202,true,false,,,,,1,17723,0
33,20230209,2023-02-09,15.2,7,Other functionality,core_server,false,1,5,22,29,51,false,false,,,,,0,,
34,20230209,2023-02-09,15.2,8,Client tools,core_server,false,1,4,81,45,126,true,false,,,,,1,17756,1
35,20230209,2023-02-09,15.2,9,Other functionality,core_server,false,1,3,104,55,159,true,false,,,,,0,,
36,20230209,2023-02-09,15.2,10,Other functionality,core_server,false,1,3,46,2,48,true,false,,,,,0,,
37,20230209,2023-02-09,15.2,11,Other functionality,core_server,false,1,5,90,18,108,true,false,,,,,0,,
38,20230209,2023-02-09,15.2,12,Crash & corruption,core_server,false,1,1,3,2,5,false,false,,,,,1,17619,127
39,20230209,2023-02-09,15.2,13,Replication & recovery,core_server,false,1,1,1,1,2,false,false,,,,,0,,
40,20230209,2023-02-09,15.2,14,Replication & recovery,replication_recovery,false,1,1,7,2,9,false,false,,,,,0,,
41,20230209,2023-02-09,15.2,15,Replication & recovery,replication_recovery,false,1,2,21,15,36,false,false,,,,,0,,
42,20230209,2023-02-09,15.2,16,Replication & recovery,core_server,false,1,2,22,29,51,false,false,,,,,0,,
43,20230209,2023-02-09,15.2,17,Other functionality,core_server,false,1,5,45,16,61,false,false,,,,,1,17434,137
44,20230209,2023-02-09,15.2,18,Crash & corruption,core_server,false,1,1,7,0,7,false,false,,,,,0,,
45,20230209,2023-02-09,15.2,19,Wrong results & planner,planner,false,1,2,12,0,12,false,false,,,,,1,17709,1
46,20230209,2023-02-09,15.2,20,Other functionality,core_server,false,1,2,32,0,32,false,false,,,,,0,,
47,20230209,2023-02-09,15.2,21,Other functionality,planner,false,1,1,12,0,12,false,false,,,,,0,,
