month_dt,list_name,message_cnt,thread_start_cnt,form_report_cnt,fix_linked_message_cnt,fix_linked_thread_start_cnt,fix_linked_share
2021-10-01,pgsql-bugs,498,65,49,178,10,0.357430
2021-10-01,pgsql-hackers,2345,160,2,820,81,0.349680
2021-11-01,pgsql-bugs,377,57,36,116,10,0.307692
2021-11-01,pgsql-hackers,2341,133,1,850,65,0.363093
2021-12-01,pgsql-bugs,197,44,37,56,10,0.284264
2021-12-01,pgsql-hackers,1932,138,0,767,67,0.396998
2022-01-01,pgsql-bugs,190,47,34,66,11,0.347368
2022-01-01,pgsql-hackers,2557,121,0,957,53,0.374267
2022-02-01,pgsql-bugs,280,47,25,106,12,0.378571
2022-02-01,pgsql-hackers,2506,176,0,1026,86,0.409417
2022-03-01,pgsql-bugs,189,35,25,45,3,0.238095
2022-03-01,pgsql-hackers,3328,120,2,1467,64,0.440805
2022-04-01,pgsql-bugs,137,31,14,33,4,0.240876
2022-04-01,pgsql-hackers,2303,156,0,1001,51,0.434650
2022-05-01,pgsql-bugs,330,43,26,116,15,0.351515
2022-05-01,pgsql-hackers,1631,154,0,773,75,0.473942
2022-06-01,pgsql-bugs,208,40,25,73,6,0.350962
2022-06-01,pgsql-hackers,1614,143,0,644,73,0.399009
2022-07-01,pgsql-bugs,240,41,25,80,8,0.333333
2022-07-01,pgsql-hackers,2734,145,1,1432,69,0.523775
2022-08-01,pgsql-bugs,317,53,35,155,16,0.488959
2022-08-01,pgsql-hackers,2449,196,0,1283,108,0.523887
2022-09-01,pgsql-bugs,230,40,19,87,6,0.378261
2022-09-01,pgsql-hackers,2453,178,0,1237,87,0.504280
2022-10-01,pgsql-bugs,192,52,41,44,7,0.229167
2022-10-01,pgsql-hackers,1886,167,0,791,86,0.419406
2022-11-01,pgsql-bugs,211,45,28,95,10,0.450237
2022-11-01,pgsql-hackers,2562,152,1,1222,81,0.476971
2022-12-01,pgsql-bugs,200,38,28,86,8,0.430000
2022-12-01,pgsql-hackers,1985,148,1,1105,92,0.556675
2023-01-01,pgsql-bugs,232,44,27,49,6,0.211207
2023-01-01,pgsql-hackers,3221,179,0,1633,91,0.506985
2023-02-01,pgsql-bugs,359,61,43,143,19,0.398329
2023-02-01,pgsql-hackers,2429,195,0,1093,92,0.449979
2023-03-01,pgsql-bugs,402,90,63,152,29,0.378109
2023-03-01,pgsql-hackers,2924,132,0,1423,67,0.486662
2023-04-01,pgsql-bugs,214,46,29,102,13,0.476636
2023-04-01,pgsql-hackers,2073,130,0,1008,63,0.486252
2023-05-01,pgsql-bugs,259,57,37,77,9,0.297297
2023-05-01,pgsql-hackers,1440,111,1,742,49,0.515278
2023-06-01,pgsql-bugs,320,61,53,146,16,0.456250
2023-06-01,pgsql-hackers,1893,177,0,830,89,0.438457
2023-07-01,pgsql-bugs,244,40,26,73,8,0.299180
2023-07-01,pgsql-hackers,1975,127,1,982,60,0.497215
2023-08-01,pgsql-bugs,237,36,26,61,5,0.257384
2023-08-01,pgsql-hackers,2021,154,1,881,74,0.435923
2023-09-01,pgsql-bugs,437,74,50,157,16,0.359268
2023-09-01,pgsql-hackers,1933,146,1,925,77,0.478531
2023-10-01,pgsql-bugs,276,39,28,130,9,0.471014
2023-10-01,pgsql-hackers,2267,141,1,1145,65,0.505073
2023-11-01,pgsql-bugs,300,49,38,85,8,0.283333
2023-11-01,pgsql-hackers,2314,144,0,1054,76,0.455488
2023-12-01,pgsql-bugs,226,49,40,100,13,0.442478
2023-12-01,pgsql-hackers,1944,161,0,958,67,0.492798
2024-01-01,pgsql-bugs,388,68,48,196,19,0.505155
2024-01-01,pgsql-hackers,2887,143,0,1433,69,0.496363
2024-02-01,pgsql-bugs,279,66,51,115,15,0.412186
2024-02-01,pgsql-hackers,2376,128,1,1267,72,0.533249
2024-03-01,pgsql-bugs,404,56,41,86,8,0.212871
2024-03-01,pgsql-hackers,3261,121,0,1669,61,0.511806
2024-04-01,pgsql-bugs,214,37,26,61,5,0.285047
2024-04-01,pgsql-hackers,2757,184,0,1529,93,0.554588
2024-05-01,pgsql-bugs,314,48,32,107,10,0.340764
2024-05-01,pgsql-hackers,2040,154,0,1006,61,0.493137
2024-06-01,pgsql-bugs,296,49,33,104,9,0.351351
2024-06-01,pgsql-hackers,2240,177,0,1198,91,0.534821
2024-07-01,pgsql-bugs,225,38,27,90,11,0.400000
2024-07-01,pgsql-hackers,2734,157,1,1513,72,0.553402
2024-08-01,pgsql-bugs,278,49,32,121,9,0.435252
2024-08-01,pgsql-hackers,2297,166,0,1314,82,0.572051
2024-09-01,pgsql-bugs,314,62,41,118,14,0.375796
2024-09-01,pgsql-hackers,2020,128,2,1079,63,0.534158
2024-10-01,pgsql-bugs,341,52,38,181,13,0.530792
2024-10-01,pgsql-hackers,2141,159,0,1237,78,0.577767
2024-11-01,pgsql-bugs,403,64,40,177,15,0.439206
2024-11-01,pgsql-hackers,2283,158,0,1121,72,0.491021
2024-12-01,pgsql-bugs,218,46,26,53,6,0.243119
2024-12-01,pgsql-hackers,2141,195,0,1077,102,0.503036
2025-01-01,pgsql-bugs,181,40,25,46,7,0.254144
2025-01-01,pgsql-hackers,2453,141,0,1254,66,0.511211
2025-02-01,pgsql-bugs,282,54,37,67,5,0.237589
2025-02-01,pgsql-hackers,2776,166,1,1524,80,0.548991
2025-03-01,pgsql-bugs,305,60,43,152,15,0.498361
2025-03-01,pgsql-hackers,3560,185,0,1919,85,0.539045
2025-04-01,pgsql-bugs,258,47,34,129,20,0.500000
2025-04-01,pgsql-hackers,2469,180,0,1311,92,0.530984
2025-05-01,pgsql-bugs,264,52,33,122,10,0.462121
2025-05-01,pgsql-hackers,1762,141,0,975,67,0.553348
2025-06-01,pgsql-bugs,301,37,28,188,12,0.624585
