week_dt,earliest_ship_release_dt,list_name,message_cnt,thread_start_cnt,form_report_cnt,fix_linked_message_cnt,fix_linked_thread_start_cnt
2021-09-27,2021-11-11,pgsql-bugs,30,6,5,8,1
2021-09-27,2021-11-11,pgsql-hackers,203,10,1,46,5
2021-10-04,2021-11-11,pgsql-bugs,83,11,5,49,2
2021-10-04,2021-11-11,pgsql-hackers,586,43,0,184,22
2021-10-11,2021-11-11,pgsql-bugs,115,18,15,52,3
2021-10-11,2021-11-11,pgsql-hackers,554,31,1,194,14
2021-10-18,2021-11-11,pgsql-bugs,75,14,10,23,3
2021-10-18,2021-11-11,pgsql-hackers,516,36,0,193,18
2021-10-25,2021-11-11,pgsql-bugs,195,16,14,46,1
2021-10-25,2021-11-11,pgsql-hackers,486,40,0,203,22
2021-11-01,2021-11-11,pgsql-bugs,92,16,11,25,2
2021-11-01,2021-11-11,pgsql-hackers,552,23,0,182,10
2021-11-08,2022-02-10,pgsql-bugs,126,18,10,33,4
2021-11-08,2022-02-10,pgsql-hackers,522,36,0,129,13
2021-11-15,2022-02-10,pgsql-bugs,99,10,7,48,2
2021-11-15,2022-02-10,pgsql-hackers,607,30,0,266,18
2021-11-22,2022-02-10,pgsql-bugs,43,10,6,9,2
2021-11-22,2022-02-10,pgsql-hackers,458,33,1,165,14
2021-11-29,2022-02-10,pgsql-bugs,45,12,9,2,0
2021-11-29,2022-02-10,pgsql-hackers,540,40,0,258,26
2021-12-06,2022-02-10,pgsql-bugs,71,18,14,14,3
2021-12-06,2022-02-10,pgsql-hackers,499,28,0,209,15
2021-12-13,2022-02-10,pgsql-bugs,42,6,5,20,2
2021-12-13,2022-02-10,pgsql-hackers,512,30,0,211,14
2021-12-20,2022-02-10,pgsql-bugs,22,5,5,8,2
2021-12-20,2022-02-10,pgsql-hackers,356,21,0,108,8
2021-12-27,2022-02-10,pgsql-bugs,38,7,7,17,4
2021-12-27,2022-02-10,pgsql-hackers,249,32,0,98,15
2022-01-03,2022-02-10,pgsql-bugs,39,10,6,22,2
2022-01-03,2022-02-10,pgsql-hackers,560,27,0,221,9
2022-01-10,2022-02-10,pgsql-bugs,54,10,8,15,2
2022-01-10,2022-02-10,pgsql-hackers,553,31,0,227,14
2022-01-17,2022-02-10,pgsql-bugs,40,11,10,10,3
2022-01-17,2022-02-10,pgsql-hackers,698,26,0,289,11
2022-01-24,2022-02-10,pgsql-bugs,47,13,7,15,3
2022-01-24,2022-02-10,pgsql-hackers,633,34,0,194,18
2022-01-31,2022-02-10,pgsql-bugs,91,9,8,38,2
2022-01-31,2022-02-10,pgsql-hackers,524,23,0,161,7
2022-02-07,2022-05-12,pgsql-bugs,69,14,6,19,2
2022-02-07,2022-05-12,pgsql-hackers,614,54,0,258,22
2022-02-14,2022-05-12,pgsql-bugs,85,16,7,28,4
2022-02-14,2022-05-12,pgsql-hackers,748,45,0,323,23
2022-02-21,2022-05-12,pgsql-bugs,41,10,6,21,4
2022-02-21,2022-05-12,pgsql-hackers,609,46,0,266,30
2022-02-28,2022-05-12,pgsql-bugs,19,5,4,5,0
2022-02-28,2022-05-12,pgsql-hackers,649,32,0,276,14
2022-03-07,2022-05-12,pgsql-bugs,57,9,7,18,1
2022-03-07,2022-05-12,pgsql-hackers,575,18,1,227,10
