month_dt,origin,commit_cnt,ai_commit_cnt,cited_thread_cnt
2020-06-01,pgsql-bugs,4,0,0
2020-06-01,unknown_or_internal_not_security,120,0,86
2020-07-01,pgsql-bugs,3,0,0
2020-07-01,unknown_or_internal_not_security,174,0,123
2020-08-01,pgsql-bugs,5,0,0
2020-08-01,unknown_or_internal_not_security,125,0,93
2020-09-01,pgsql-bugs,3,0,0
2020-09-01,unknown_or_internal_not_security,186,0,128
2020-10-01,pgsql-bugs,20,0,16
2020-10-01,pgsql-hackers,76,0,64
2020-10-01,unknown_or_internal_not_security,81,0,56
2020-11-01,pgsql-bugs,16,0,12
2020-11-01,pgsql-hackers,104,0,94
2020-11-01,unknown_or_internal_not_security,87,0,47
2020-12-01,pgsql-bugs,12,0,11
2020-12-01,pgsql-hackers,63,0,55
2020-12-01,unknown_or_internal_not_security,72,0,32
2021-01-01,pgsql-bugs,13,0,11
2021-01-01,pgsql-hackers,117,0,103
2021-01-01,unknown_or_internal_not_security,73,0,49
2021-02-01,pgsql-bugs,11,0,9
2021-02-01,pgsql-hackers,81,0,65
2021-02-01,unknown_or_internal_not_security,59,0,25
2021-03-01,pgsql-bugs,8,0,10
2021-03-01,pgsql-hackers,164,0,134
2021-03-01,unknown_or_internal_not_security,119,0,57
2021-04-01,pgsql-bugs,7,0,6
2021-04-01,pgsql-hackers,173,0,152
2021-04-01,unknown_or_internal_not_security,105,0,42
2021-05-01,pgsql-bugs,16,0,13
2021-05-01,pgsql-hackers,91,0,85
2021-05-01,unknown_or_internal_not_security,63,0,8
2021-06-01,pgsql-bugs,19,0,16
2021-06-01,pgsql-hackers,120,0,111
2021-06-01,unknown_or_internal_not_security,55,0,14
2021-07-01,pgsql-bugs,20,0,16
2021-07-01,pgsql-hackers,132,0,113
2021-07-01,unknown_or_internal_not_security,54,0,23
2021-08-01,pgsql-bugs,13,0,12
2021-08-01,pgsql-hackers,116,0,92
2021-08-01,unknown_or_internal_not_security,46,0,14
2021-09-01,pgsql-bugs,11,0,9
2021-09-01,pgsql-hackers,103,0,84
2021-09-01,unknown_or_internal_not_security,40,0,12
2021-10-01,pgsql-bugs,17,0,19
2021-10-01,pgsql-hackers,96,0,85
2021-10-01,unknown_or_internal_not_security,41,0,17
2021-11-01,pgsql-bugs,16,0,16
2021-11-01,pgsql-hackers,108,0,92
2021-11-01,unknown_or_internal_not_security,43,0,20
2021-11-01,unknown_or_internal_security,2,0,0
2021-12-01,pgsql-bugs,10,0,9
2021-12-01,pgsql-hackers,85,0,66
2021-12-01,unknown_or_internal_not_security,24,0,11
2022-01-01,pgsql-bugs,18,0,17
2022-01-01,pgsql-hackers,128,0,113
2022-01-01,unknown_or_internal_not_security,42,0,18
2022-02-01,pgsql-bugs,15,0,13
2022-02-01,pgsql-hackers,130,0,119
2022-02-01,unknown_or_internal_not_security,37,0,12
2022-03-01,pgsql-bugs,7,0,8
2022-03-01,pgsql-hackers,189,0,154
2022-03-01,unknown_or_internal_not_security,70,0,36
2022-04-01,pgsql-bugs,4,0,5
2022-04-01,pgsql-hackers,179,0,139
2022-04-01,unknown_or_internal_not_security,71,0,16
2022-05-01,pgsql-bugs,11,0,11
