dim_release_key,release_dt,category,category_order,is_out_of_band,fix_cnt,fix_share
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Build & platform,12,false,1,0.020408
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Client tools,9,false,4,0.081633
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,"Concurrency, locking & crashes",6,false,8,0.163265
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,"Data types, text & collation",8,false,6,0.122449
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Execution & correctness,2,false,6,0.122449
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Extensions & contrib,11,false,1,0.020408
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Indexes,3,false,8,0.163265
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,"Numeric, overflow & limits",7,false,1,0.020408
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Partitioning & inheritance,4,false,2,0.040816
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Planner & optimizer,1,false,4,0.081633
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Replication & recovery,5,false,4,0.081633
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,"Storage, vacuum & TOAST",13,false,4,0.081633
10fa0d573d632725421808674378f487,2026-08-13,Build & platform,12,false,3,0.021127
10fa0d573d632725421808674378f487,2026-08-13,Client interfaces,10,false,9,0.063380
10fa0d573d632725421808674378f487,2026-08-13,Client tools,9,false,15,0.105634
10fa0d573d632725421808674378f487,2026-08-13,"Concurrency, locking & crashes",6,false,21,0.147887
10fa0d573d632725421808674378f487,2026-08-13,"Data types, text & collation",8,false,21,0.147887
10fa0d573d632725421808674378f487,2026-08-13,Execution & correctness,2,false,14,0.098592
10fa0d573d632725421808674378f487,2026-08-13,Extensions & contrib,11,false,8,0.056338
10fa0d573d632725421808674378f487,2026-08-13,Indexes,3,false,6,0.042254
10fa0d573d632725421808674378f487,2026-08-13,"Numeric, overflow & limits",7,false,11,0.077465
10fa0d573d632725421808674378f487,2026-08-13,Partitioning & inheritance,4,false,5,0.035211
10fa0d573d632725421808674378f487,2026-08-13,Planner & optimizer,1,false,7,0.049296
10fa0d573d632725421808674378f487,2026-08-13,Replication & recovery,5,false,16,0.112676
10fa0d573d632725421808674378f487,2026-08-13,"Storage, vacuum & TOAST",13,false,6,0.042254
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Build & platform,12,false,4,0.048193
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Client interfaces,10,false,3,0.036145
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Client tools,9,false,4,0.048193
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,"Concurrency, locking & crashes",6,false,9,0.108434
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,"Data types, text & collation",8,false,7,0.084337
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Execution & correctness,2,false,22,0.265060
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Extensions & contrib,11,false,7,0.084337
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Indexes,3,false,5,0.060241
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,"Numeric, overflow & limits",7,false,2,0.024096
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Partitioning & inheritance,4,false,3,0.036145
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Planner & optimizer,1,false,5,0.060241
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Replication & recovery,5,false,5,0.060241
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,"Storage, vacuum & TOAST",13,false,7,0.084337
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Build & platform,12,false,4,0.067797
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Client interfaces,10,false,3,0.050847
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Client tools,9,false,5,0.084746
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,"Concurrency, locking & crashes",6,false,9,0.152542
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,"Data types, text & collation",8,false,4,0.067797
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Execution & correctness,2,false,13,0.220339
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Extensions & contrib,11,false,2,0.033898
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Indexes,3,false,2,0.033898
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,"Numeric, overflow & limits",7,false,2,0.033898
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Partitioning & inheritance,4,false,2,0.033898
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Planner & optimizer,1,false,6,0.101695
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Replication & recovery,5,false,6,0.101695
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,"Storage, vacuum & TOAST",13,false,1,0.016949
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Build & platform,12,false,1,0.025641
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Client interfaces,10,false,3,0.076923
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Client tools,9,false,3,0.076923
30d790af5967d68d0dc1af24c052cc25,2022-08-11,"Concurrency, locking & crashes",6,false,7,0.179487
30d790af5967d68d0dc1af24c052cc25,2022-08-11,"Data types, text & collation",8,false,3,0.076923
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Execution & correctness,2,false,4,0.102564
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Extensions & contrib,11,false,4,0.102564
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Indexes,3,false,2,0.051282
30d790af5967d68d0dc1af24c052cc25,2022-08-11,"Numeric, overflow & limits",7,false,2,0.051282
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Partitioning & inheritance,4,false,1,0.025641
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Planner & optimizer,1,false,3,0.076923
30d790af5967d68d0dc1af24c052cc25,2022-08-11,Replication & recovery,5,false,4,0.102564
30d790af5967d68d0dc1af24c052cc25,2022-08-11,"Storage, vacuum & TOAST",13,false,2,0.051282
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Client interfaces,10,false,4,0.054795
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Client tools,9,false,6,0.082192
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,"Concurrency, locking & crashes",6,false,12,0.164384
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,"Data types, text & collation",8,false,7,0.095890
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Execution & correctness,2,false,12,0.164384
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Extensions & contrib,11,false,4,0.054795
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Indexes,3,false,6,0.082192
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,"Numeric, overflow & limits",7,false,5,0.068493
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Planner & optimizer,1,false,6,0.082192
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Replication & recovery,5,false,7,0.095890
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,"Storage, vacuum & TOAST",13,false,4,0.054795
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Build & platform,12,false,3,0.041667
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Client tools,9,false,7,0.097222
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,"Concurrency, locking & crashes",6,false,11,0.152778
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,"Data types, text & collation",8,false,4,0.055556
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Execution & correctness,2,false,11,0.152778
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Extensions & contrib,11,false,1,0.013889
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Indexes,3,false,8,0.111111
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,"Numeric, overflow & limits",7,false,6,0.083333
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Partitioning & inheritance,4,false,3,0.041667
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Planner & optimizer,1,false,4,0.055556
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Replication & recovery,5,false,7,0.097222
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,"Storage, vacuum & TOAST",13,false,7,0.097222
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,"Concurrency, locking & crashes",6,true,1,0.111111
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,"Data types, text & collation",8,true,3,0.333333
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Execution & correctness,2,true,3,0.333333
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Planner & optimizer,1,true,1,0.111111
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Replication & recovery,5,true,1,0.111111
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Build & platform,12,false,9,0.120000
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Client interfaces,10,false,2,0.026667
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Client tools,9,false,10,0.133333
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,"Concurrency, locking & crashes",6,false,13,0.173333
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,"Data types, text & collation",8,false,8,0.106667
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Execution & correctness,2,false,8,0.106667
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Extensions & contrib,11,false,3,0.040000
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Indexes,3,false,2,0.026667
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,"Numeric, overflow & limits",7,false,4,0.053333
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Partitioning & inheritance,4,false,2,0.026667
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Planner & optimizer,1,false,4,0.053333
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Replication & recovery,5,false,2,0.026667
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,"Storage, vacuum & TOAST",13,false,8,0.106667
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Build & platform,12,false,2,0.036364
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Client interfaces,10,false,2,0.036364
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Client tools,9,false,3,0.054545
54b845081bd089efb1f91a1b5a00304b,2024-08-08,"Concurrency, locking & crashes",6,false,10,0.181818
54b845081bd089efb1f91a1b5a00304b,2024-08-08,"Data types, text & collation",8,false,7,0.127273
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Execution & correctness,2,false,10,0.181818
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Extensions & contrib,11,false,3,0.054545
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Indexes,3,false,1,0.018182
54b845081bd089efb1f91a1b5a00304b,2024-08-08,"Numeric, overflow & limits",7,false,3,0.054545
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Partitioning & inheritance,4,false,4,0.072727
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Planner & optimizer,1,false,6,0.109091
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Replication & recovery,5,false,3,0.054545
54b845081bd089efb1f91a1b5a00304b,2024-08-08,"Storage, vacuum & TOAST",13,false,1,0.018182
5d3fad531dd3ceed47b48db21b213987,2025-02-20,Build & platform,12,true,1,0.250000
5d3fad531dd3ceed47b48db21b213987,2025-02-20,Client interfaces,10,true,1,0.250000
5d3fad531dd3ceed47b48db21b213987,2025-02-20,"Concurrency, locking & crashes",6,true,1,0.250000
5d3fad531dd3ceed47b48db21b213987,2025-02-20,Execution & correctness,2,true,1,0.250000
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Build & platform,12,false,2,0.034483
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Client interfaces,10,false,4,0.068966
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Client tools,9,false,5,0.086207
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,"Concurrency, locking & crashes",6,false,10,0.172414
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,"Data types, text & collation",8,false,6,0.103448
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Execution & correctness,2,false,8,0.137931
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Extensions & contrib,11,false,2,0.034483
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Indexes,3,false,4,0.068966
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,"Numeric, overflow & limits",7,false,4,0.068966
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Partitioning & inheritance,4,false,1,0.017241
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Planner & optimizer,1,false,8,0.137931
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Replication & recovery,5,false,1,0.017241
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,"Storage, vacuum & TOAST",13,false,3,0.051724
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Build & platform,12,false,2,0.031746
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Client interfaces,10,false,1,0.015873
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Client tools,9,false,3,0.047619
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,"Concurrency, locking & crashes",6,false,12,0.190476
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,"Data types, text & collation",8,false,5,0.079365
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Execution & correctness,2,false,14,0.222222
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Extensions & contrib,11,false,1,0.015873
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Indexes,3,false,3,0.047619
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,"Numeric, overflow & limits",7,false,3,0.047619
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Partitioning & inheritance,4,false,2,0.031746
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Planner & optimizer,1,false,6,0.095238
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Replication & recovery,5,false,11,0.174603
7cdc36d758eec2751448266bca67920f,2022-06-16,Build & platform,12,true,1,0.052632
7cdc36d758eec2751448266bca67920f,2022-06-16,Client interfaces,10,true,2,0.105263
7cdc36d758eec2751448266bca67920f,2022-06-16,Client tools,9,true,2,0.105263
7cdc36d758eec2751448266bca67920f,2022-06-16,"Concurrency, locking & crashes",6,true,3,0.157895
7cdc36d758eec2751448266bca67920f,2022-06-16,"Data types, text & collation",8,true,2,0.105263
7cdc36d758eec2751448266bca67920f,2022-06-16,Execution & correctness,2,true,3,0.157895
7cdc36d758eec2751448266bca67920f,2022-06-16,Indexes,3,true,1,0.052632
7cdc36d758eec2751448266bca67920f,2022-06-16,Planner & optimizer,1,true,3,0.157895
7cdc36d758eec2751448266bca67920f,2022-06-16,Replication & recovery,5,true,2,0.105263
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Build & platform,12,false,5,0.087719
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Client interfaces,10,false,2,0.035088
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Client tools,9,false,10,0.175439
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Concurrency, locking & crashes",6,false,8,0.140351
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Data types, text & collation",8,false,2,0.035088
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Execution & correctness,2,false,7,0.122807
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Extensions & contrib,11,false,1,0.017544
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Indexes,3,false,3,0.052632
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Numeric, overflow & limits",7,false,1,0.017544
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Partitioning & inheritance,4,false,1,0.017544
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Planner & optimizer,1,false,6,0.105263
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,Replication & recovery,5,false,9,0.157895
7fdb94d944fa9b4ec8f39e9170f26ece,2022-02-10,"Storage, vacuum & TOAST",13,false,2,0.035088
