cycle_key,cycle_start_dt,ships_at_dt,window_days,is_open_cycle,shipped_fix_cnt,early_report_cnt,early_message_cnt,early_fix_cnt,full_fix_cnt
20220210,2021-11-08,2022-02-10,19,false,,20,1811,0,0
20220512,2022-02-07,2022-05-12,19,false,,18,2072,0,0
20220811,2022-05-09,2022-08-11,19,false,,20,1353,0,0
20221110,2022-08-08,2022-11-10,19,false,,14,1546,0,45
20230209,2022-11-07,2023-02-09,19,false,57,18,1845,37,121
20230511,2023-02-06,2023-05-11,19,false,82,31,1965,24,127
20230810,2023-05-08,2023-08-10,19,false,47,23,1269,14,96
20231109,2023-08-07,2023-11-09,19,false,70,16,1405,14,165
20240208,2023-11-06,2024-02-08,19,false,71,29,1692,34,140
20240509,2024-02-05,2024-05-09,19,false,58,29,1815,28,124
20240808,2024-05-06,2024-08-08,19,false,55,21,1887,16,125
20241114,2024-08-05,2024-11-14,19,false,68,21,1737,21,160
20250213,2024-11-11,2025-02-13,19,false,74,26,1842,46,165
20250508,2025-02-10,2025-05-08,19,false,62,25,2263,35,127
20250814,2025-05-05,2025-08-14,19,false,71,26,1285,19,147
20251113,2025-08-11,2025-11-13,19,false,78,18,1905,25,177
20260212,2025-11-10,2026-02-12,19,false,75,18,2316,45,192
20260514,2026-02-09,2026-05-14,19,false,73,24,2033,37,176
20260813,2026-05-11,2026-08-13,19,false,142,25,1368,34,246
20261112,2026-08-10,2026-11-12,19,true,,29,2130,59,59
