quarter_dt,subsystem,commit_cnt,lines_added_sum,lines_deleted_sum,churn
2020-10-01,build_platform,47,291,330,621
2020-10-01,client_tools,77,3009,2537,5546
2020-10-01,core_server,281,33148,16732,49880
2020-10-01,docs,145,5101,2792,7893
2020-10-01,extensions_contrib,59,4232,1240,5472
2020-10-01,other,1,4,26,30
2020-10-01,planner,35,2015,910,2925
2020-10-01,replication_recovery,70,3292,2064,5356
2020-10-01,tests,125,20300,11105,31405
2021-01-01,build_platform,51,785,996,1781
2021-01-01,client_tools,119,11675,5745,17420
2021-01-01,core_server,358,60056,28356,88412
2021-01-01,docs,192,7317,1988,9305
2021-01-01,extensions_contrib,82,6311,3388,9699
2021-01-01,other,7,87,39,126
2021-01-01,planner,28,4863,2482,7345
2021-01-01,replication_recovery,74,2247,1217,3464
2021-01-01,tests,161,24716,5312,30028
2021-04-01,build_platform,36,937,532,1469
2021-04-01,client_tools,100,3333,2231,5564
2021-04-01,core_server,307,24196,15359,39555
2021-04-01,docs,193,11219,5201,16420
2021-04-01,extensions_contrib,75,5533,3928,9461
2021-04-01,other,5,234,15,249
2021-04-01,planner,29,1529,1186,2715
2021-04-01,replication_recovery,76,4934,4221,9155
2021-04-01,tests,169,47218,21975,69193
2021-07-01,build_platform,34,647,872,1519
2021-07-01,client_tools,91,2323,1315,3638
2021-07-01,core_server,286,14729,11201,25930
2021-07-01,docs,98,2333,801,3134
2021-07-01,extensions_contrib,44,3060,784,3844
2021-07-01,other,9,49,18,67
2021-07-01,planner,25,695,404,1099
2021-07-01,replication_recovery,73,2858,1376,4234
2021-07-01,tests,106,6098,942,7040
2021-10-01,build_platform,33,1314,611,1925
2021-10-01,client_tools,88,6586,8037,14623
2021-10-01,core_server,192,12789,8501,21290
2021-10-01,docs,81,1554,472,2026
2021-10-01,extensions_contrib,51,17673,13081,30754
2021-10-01,other,4,10,6,16
2021-10-01,planner,11,213,125,338
2021-10-01,replication_recovery,86,5690,2443,8133
2021-10-01,tests,104,7103,2264,9367
2022-01-01,build_platform,77,935,494,1429
2022-01-01,client_tools,113,6795,3195,9990
2022-01-01,core_server,277,32873,13731,46604
2022-01-01,docs,138,4724,1476,6200
2022-01-01,extensions_contrib,81,6222,4539,10761
2022-01-01,other,7,29,10,39
2022-01-01,planner,29,2179,651,2830
2022-01-01,replication_recovery,129,15203,7436,22639
2022-01-01,tests,175,26366,8018,34384
2022-04-01,build_platform,29,1160,933,2093
2022-04-01,client_tools,69,4532,4034,8566
2022-04-01,core_server,205,19708,15102,34810
2022-04-01,docs,145,17694,12471,30165
2022-04-01,extensions_contrib,46,3174,1543,4717
2022-04-01,other,6,20,11,31
2022-04-01,planner,14,946,367,1313
2022-04-01,replication_recovery,78,4005,3842,7847
2022-04-01,tests,111,22890,4594,27484
2022-07-01,build_platform,132,7022,2427,9449
2022-07-01,client_tools,140,5142,2941,8083
2022-07-01,core_server,465,38064,59035,97099
2022-07-01,docs,172,7127,6819,13946
2022-07-01,extensions_contrib,86,4597,1144,5741
2022-07-01,other,24,269,106,375
2022-07-01,planner,38,1100,564,1664
2022-07-01,replication_recovery,108,3323,2280,5603
2022-07-01,tests,152,7093,8077,15170
2022-10-01,build_platform,56,1703,591,2294
2022-10-01,client_tools,64,3182,2450,5632
2022-10-01,core_server,297,17315,13376,30691
2022-10-01,docs,90,3968,1127,5095
2022-10-01,extensions_contrib,61,2861,643,3504
2022-10-01,other,13,46,25,71
2022-10-01,planner,34,1436,2175,3611
2022-10-01,replication_recovery,68,1174,752,1926
2022-10-01,tests,136,9731,2327,12058
2023-01-01,build_platform,76,6924,749,7673
2023-01-01,client_tools,105,7312,3105,10417
2023-01-01,core_server,341,22411,12676,35087
2023-01-01,docs,157,5418,2881,8299
2023-01-01,extensions_contrib,87,5519,3342,8861
2023-01-01,other,9,27,16,43
2023-01-01,planner,57,5148,2840,7988
2023-01-01,replication_recovery,75,5095,1747,6842
2023-01-01,tests,192,18446,5641,24087
2023-04-01,build_platform,49,1078,846,1924
2023-04-01,client_tools,82,3674,2234,5908
2023-04-01,core_server,215,12460,8713,21173
2023-04-01,docs,158,6658,2021,8679
2023-04-01,extensions_contrib,59,3264,859,4123
2023-04-01,other,12,160,139,299
2023-04-01,planner,33,921,510,1431
2023-04-01,replication_recovery,52,1333,724,2057
2023-04-01,tests,132,7984,3815,11799
2023-07-01,build_platform,53,837,475,1312
2023-07-01,client_tools,68,2630,1532,4162
2023-07-01,core_server,252,10377,7965,18342
2023-07-01,docs,84,1475,2106,3581
2023-07-01,extensions_contrib,40,1518,699,2217
2023-07-01,other,9,96,42,138
2023-07-01,planner,27,759,321,1080
2023-07-01,replication_recovery,62,1281,705,1986
2023-07-01,tests,86,6780,2071,8851
2023-10-01,build_platform,52,365,6286,6651
2023-10-01,client_tools,73,7178,625,7803
2023-10-01,core_server,256,22825,8635,31460
2023-10-01,docs,151,3436,2018,5454
2023-10-01,extensions_contrib,62,3947,1380,5327
2023-10-01,other,10,41,64,105
2023-10-01,planner,27,1476,548,2024
2023-10-01,replication_recovery,75,1764,825,2589
2023-10-01,tests,131,9342,989,10331
2024-01-01,build_platform,74,855,1198,2053
2024-01-01,client_tools,120,5626,2786,8412
2024-01-01,core_server,417,41266,18485,59751
2024-01-01,docs,158,5920,1725,7645
2024-01-01,extensions_contrib,57,2350,2026,4376
2024-01-01,other,14,57,64,121
2024-01-01,planner,58,2877,1399,4276
2024-01-01,replication_recovery,93,7530,1567,9097
2024-01-01,tests,215,22971,3845,26816
2024-04-01,build_platform,61,998,262,1260
2024-04-01,client_tools,121,4192,2595,6787
2024-04-01,core_server,305,22376,11259,33635
2024-04-01,docs,179,7968,3294,11262
2024-04-01,extensions_contrib,38,1103,690,1793
2024-04-01,other,5,18,4,22
2024-04-01,planner,33,1962,2998,4960
2024-04-01,replication_recovery,59,1953,1243,3196
2024-04-01,tests,174,36367,30041,66408
2024-07-01,build_platform,64,754,393,1147
2024-07-01,client_tools,101,6141,4245,10386
2024-07-01,core_server,413,16979,12436,29415
2024-07-01,docs,126,3427,1278,4705
2024-07-01,extensions_contrib,61,3698,691,4389
2024-07-01,other,9,28,11,39
2024-07-01,planner,29,1565,354,1919
2024-07-01,replication_recovery,91,3775,1773,5548
2024-07-01,tests,181,12247,6451,18698
2024-10-01,build_platform,58,670,2001,2671
2024-10-01,client_tools,96,5268,3935,9203
2024-10-01,core_server,356,18890,11080,29970
2024-10-01,docs,112,1821,1741,3562
2024-10-01,extensions_contrib,61,3759,842,4601
2024-10-01,other,10,28,12,40
2024-10-01,planner,52,4168,1365,5533
2024-10-01,replication_recovery,60,1348,1500,2848
2024-10-01,tests,155,13106,1766,14872
2025-01-01,build_platform,90,1695,579,2274
2025-01-01,client_tools,150,12935,3489,16424
2025-01-01,core_server,488,66342,31830,98172
2025-01-01,docs,182,6618,1937,8555
2025-01-01,extensions_contrib,109,9317,2743,12060
2025-01-01,other,14,305,23,328
2025-01-01,planner,43,2633,927,3560
2025-01-01,replication_recovery,86,2935,1984,4919
2025-01-01,tests,206,22793,7013,29806
2025-04-01,build_platform,40,1332,337,1669
2025-04-01,client_tools,125,5507,1739,7246
2025-04-01,core_server,265,21931,13047,34978
2025-04-01,docs,192,9708,4092,13800
2025-04-01,extensions_contrib,75,5990,2467,8457
2025-04-01,other,10,28,6,34
2025-04-01,planner,31,1793,803,2596
2025-04-01,replication_recovery,47,1165,569,1734
2025-04-01,tests,125,9240,2148,11388
2025-07-01,build_platform,60,810,760,1570
2025-07-01,client_tools,96,5722,4030,9752
2025-07-01,core_server,324,17419,14369,31788
2025-07-01,docs,100,34095,33275,67370
2025-07-01,extensions_contrib,68,5773,1822,7595
2025-07-01,other,8,52,24,76
2025-07-01,planner,36,1910,1492,3402
2025-07-01,replication_recovery,71,2871,1483,4354
2025-07-01,tests,142,12228,2504,14732
2025-10-01,build_platform,73,605,267,872
2025-10-01,client_tools,103,5310,2104,7414
2025-10-01,core_server,434,27989,48206,76195
2025-10-01,docs,121,3771,1162,4933
2025-10-01,extensions_contrib,60,1862,1024,2886
2025-10-01,other,9,30,4,34
2025-10-01,planner,59,4450,1593,6043
2025-10-01,replication_recovery,98,4776,2173,6949
2025-10-01,tests,193,24583,5127,29710
2026-01-01,build_platform,119,1708,865,2573
2026-01-01,client_tools,116,7119,2500,9619
2026-01-01,core_server,486,74623,45763,120386
2026-01-01,docs,138,8033,1026,9059
2026-01-01,extensions_contrib,114,18678,3138,21816
2026-01-01,other,10,55,11,66
2026-01-01,planner,61,4090,624,4714
2026-01-01,replication_recovery,116,4792,2200,6992
2026-01-01,tests,216,26199,6102,32301
2026-04-01,build_platform,64,2106,1586,3692
2026-04-01,client_tools,77,2271,3160,5431
2026-04-01,core_server,420,26018,12301,38319
2026-04-01,docs,158,8275,2166,10441
2026-04-01,extensions_contrib,88,8367,1630,9997
2026-04-01,other,9,135,9,144
2026-04-01,planner,34,1284,573,1857
2026-04-01,replication_recovery,90,3611,2180,5791
2026-04-01,tests,247,28326,8951,37277
2026-07-01,build_platform,28,142,102,244
2026-07-01,client_tools,88,3353,3174,6527
2026-07-01,core_server,382,15884,11453,27337
2026-07-01,docs,114,1729,1053,2782
2026-07-01,extensions_contrib,81,5060,2322,7382
2026-07-01,other,5,18,0,18
2026-07-01,planner,41,2713,2411,5124
2026-07-01,replication_recovery,74,1630,636,2266
