dim_version_key,item_cnt
0010fd5f39a1861d79baf70fcf02506c,1
038a8a50b863780fe4a43b7a263bb12b,193
04772832e08a8926945bc7be30b9af20,59
051b1a9b94d19e0c8c377c46b4804245,41
06b32425c4ae524b3d55790605d1d1e6,26
09a67f2a8fe713d707868e595c762f4c,58
0ae2a5021f14831561936b6bfe61d163,55
0d998bc4651f6fd369c0003196851247,19
125dcaf4533b218d3c5dfe19e4aa8a35,199
1383c2b19889c144c1c67203d8f7d201,52
16402ca791d11cef64da88b7dada6b71,60
168feb6d180e3f3b33024aa3cc51ab0d,8
1797985fd1bbfa2cf9e6868d51f24c43,7
1b7f864ac7a422c1a24c720d543e7e0f,8
1dc2d73f98ddb1c35143d151aa3a4738,74
2204cf5062c063e64472cb32c34ecf0b,38
228716ca9a4d2a6bd72a8af2a10edcca,47
25cf71c55b2ae9588d29ca092d89b572,6
269bacf82d1df4c24e192a1988b45e43,59
2915286d7ad2c7a98aa7d4bb99a6af5c,9
2adf0f87cbb1b53ddb72e7d6c53d1843,39
2cd9c009119d9692611f2663e7448812,52
2ce72b2850f750b56ff15f10346b6f2c,54
2dd5ad4b93b8726c85105850c423c5d8,47
335be446d650930b1cfc4e2b04b7c530,71
353be7ff70c4a5a6ae122efbf2d2d9bd,45
3b6796bbf556ed9df154a10725a166e8,60
3c5825a0d4bdb85c67182ef89bc9c7eb,59
3dd2811ad4cc449e9f07df837559dc63,61
3fb46a6ec4d04903962385037d981946,43
3fc041a60ab6b0a05e9ec83bc7cb9d5b,57
40608c50035ca3d0797b7bc515407b9b,5
41dce6c20176ff519b23c3d64cb089af,46
42acca2c478fd6295e610c5b9d2c2f6f,3
451ab2ebcc6af480230942ed59b885dd,40
4fe4ba8eb029b5eb26d6df4d8c19b0c1,109
50ad0e62349c6838c91eb30b5ebe2c21,57
516169ecbb4f43ab70593d9cb2d567df,8
54a7b3b5a57bc61baa627d2000d2ce8e,83
573b56194adda270c43074eb13db28d2,39
591cc1c9a3b4cbd908178203fc545d5d,54
5d93f7609c95588e766ce570e9b035a2,6
6ba14e8c4ecc853a0411ce66668fa103,46
74bc92631030ea405ffe9803c7dbbaa6,48
7559274a998db62b6322f57c87a2930b,50
770e30159a8b709ff6a0455149d73a35,35
7a2cd0697053432540bbb96552ce09a7,70
7ccd528b1ff88934ff0fced5d3fc64ae,58
7ff2e16d62d08febb3b37e1ba61f0e85,2
8011c1672b96b9446e250a64eb52393f,165
82144996133901d53d08399c89ee18f1,52
8231150f9d3c4a156df10b79b0ca7ed5,83
87417949f0363b098e3247d701a46d59,67
90051d05643fdec9edfb36b0d4ccf1b2,75
90fc01710cf1402b8200cc5a269a87e6,65
91bfc6775a6344cdc0e75140dbc326b7,49
95fb27ff06dec1fae036f00caa378b41,54
9773f066da667415a91d15400e0a5432,46
a86c834d87b0b571f97f58c549912e11,44
aab7d9999e13470c54d4539b05703776,71
ac462245779b4f9ed6509fe6b4cbe5eb,47
ad7ba51d2d3155a988aaa673a0bf42a3,42
b940b38b0563c64d44704d877b2444c0,193
c1fdb94ede4e0cfdc87154559fd92df9,98
c7af379c951f52fbe63a373b778d6b63,5
c8db6b584c8dcb25982bde0c566a0fbe,41
cb3b88409b992ad809a378b1e4d65cc2,153
d2de50745be374846c0b044a1d67d7a1,53
ddab1d5d94964d296b95488957f3b3d7,37
ddbdb62ab62254676650237e67056cf3,46
e3e5a4e071b34019caec47bec758eaa9,54
e4943631400ccf72d3d1b46d9973d074,2
e628c732b1864fecab703bcb2f8b4d78,48
ead53bb05e96a47cbce441a11a99b2b3,56
efa835b694589cf62ed73eff5a2fc8fd,90
f4b955658f44fc29fb155acb57f32c1d,49
f956db20c1a24280c453c61bbb1ec9f6,140
fa77d23730a70309e9f96103916581e3,38
fa7a332ea249be988b987dabd27bc5ac,42
