dim_release_key,release_dt,category,category_order,is_out_of_band,fix_cnt
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Build & platform,8,false,1
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Client tools,5,false,3
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Crash & corruption,2,false,19
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Extensions & contrib,6,false,3
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Other functionality,9,false,14
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Replication & recovery,4,false,2
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Security (CVE),0,false,2
086ceaa75240d0c8218ee8cd31103e84,2023-08-10,Wrong results & planner,3,false,3
10fa0d573d632725421808674378f487,2026-08-13,Build & platform,8,false,4
10fa0d573d632725421808674378f487,2026-08-13,Client tools,5,false,12
10fa0d573d632725421808674378f487,2026-08-13,Crash & corruption,2,false,32
10fa0d573d632725421808674378f487,2026-08-13,Extensions & contrib,6,false,6
10fa0d573d632725421808674378f487,2026-08-13,Other functionality,9,false,31
10fa0d573d632725421808674378f487,2026-08-13,Performance,7,false,1
10fa0d573d632725421808674378f487,2026-08-13,Replication & recovery,4,false,13
10fa0d573d632725421808674378f487,2026-08-13,Security (CVE),0,false,29
10fa0d573d632725421808674378f487,2026-08-13,Security hardening (no CVE),1,false,5
10fa0d573d632725421808674378f487,2026-08-13,Wrong results & planner,3,false,9
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Build & platform,8,false,6
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Client tools,5,false,4
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Crash & corruption,2,false,37
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Extensions & contrib,6,false,6
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Other functionality,9,false,17
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Replication & recovery,4,false,4
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Security (CVE),0,false,2
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Security hardening (no CVE),1,false,2
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,Wrong results & planner,3,false,4
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Build & platform,8,false,2
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Client tools,5,false,3
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Crash & corruption,2,false,13
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Extensions & contrib,6,false,4
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Other functionality,9,false,20
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Replication & recovery,4,false,11
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Security (CVE),0,false,1
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,Wrong results & planner,3,false,3
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Client tools,5,false,3
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Crash & corruption,2,false,10
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Extensions & contrib,6,false,3
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Other functionality,9,false,26
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Replication & recovery,4,false,8
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Security (CVE),0,false,14
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Security hardening (no CVE),1,false,4
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,Wrong results & planner,3,false,5
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Build & platform,8,false,3
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Client tools,5,false,5
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Crash & corruption,2,false,16
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Extensions & contrib,6,false,4
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Other functionality,9,false,29
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Replication & recovery,4,false,8
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Security (CVE),0,false,3
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,Wrong results & planner,3,false,2
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Client tools,5,true,1
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Crash & corruption,2,true,1
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Other functionality,9,true,4
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Replication & recovery,4,true,1
40101526bfeb6f95bd7ee528cc8bffe0,2026-02-26,Security (CVE),0,true,2
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Build & platform,8,false,7
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Client tools,5,false,8
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Crash & corruption,2,false,25
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Extensions & contrib,6,false,3
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Other functionality,9,false,22
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Replication & recovery,4,false,4
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Security (CVE),0,false,1
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,Wrong results & planner,3,false,4
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Build & platform,8,false,4
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Client tools,5,false,3
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Crash & corruption,2,false,11
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Extensions & contrib,6,false,5
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Other functionality,9,false,21
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Replication & recovery,4,false,4
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Security (CVE),0,false,2
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Security hardening (no CVE),1,false,1
54b845081bd089efb1f91a1b5a00304b,2024-08-08,Wrong results & planner,3,false,4
5d3fad531dd3ceed47b48db21b213987,2025-02-20,Build & platform,8,true,1
5d3fad531dd3ceed47b48db21b213987,2025-02-20,Crash & corruption,2,true,1
5d3fad531dd3ceed47b48db21b213987,2025-02-20,Security (CVE),0,true,1
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Build & platform,8,false,2
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Client tools,5,false,6
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Crash & corruption,2,false,16
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Extensions & contrib,6,false,5
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Other functionality,9,false,21
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Performance,7,false,1
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Replication & recovery,4,false,2
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Security (CVE),0,false,1
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,Wrong results & planner,3,false,4
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Build & platform,8,false,1
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Client tools,5,false,3
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Crash & corruption,2,false,21
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Extensions & contrib,6,false,1
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Other functionality,9,false,22
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Performance,7,false,1
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Replication & recovery,4,false,8
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Security (CVE),0,false,1
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,Wrong results & planner,3,false,4
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Build & platform,8,false,5
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Client tools,5,false,6
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Crash & corruption,2,false,16
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Extensions & contrib,6,false,1
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Other functionality,9,false,22
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Performance,7,false,2
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Replication & recovery,4,false,6
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Security (CVE),0,false,4
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Security hardening (no CVE),1,false,1
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,Wrong results & planner,3,false,5
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Crash & corruption,2,true,3
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Extensions & contrib,6,true,1
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Other functionality,9,true,1
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Replication & recovery,4,true,2
9913f136f555e8d180895e7b13f3cc29,2024-11-21,Security (CVE),0,true,1
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Build & platform,8,false,4
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Client tools,5,false,10
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Crash & corruption,2,false,14
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Extensions & contrib,6,false,3
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Other functionality,9,false,26
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Performance,7,false,1
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Replication & recovery,4,false,9
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Security (CVE),0,false,1
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,Wrong results & planner,3,false,3
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Build & platform,8,false,8
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Client tools,5,false,12
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Crash & corruption,2,false,22
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Extensions & contrib,6,false,2
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Other functionality,9,false,14
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Performance,7,false,1
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Replication & recovery,4,false,9
b1036aa132d59c6301b245e14d25cebd,2025-08-14,Security (CVE),0,false,3
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Build & platform,8,false,9
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Client tools,5,false,9
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Crash & corruption,2,false,25
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Extensions & contrib,6,false,2
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Other functionality,9,false,16
c6d9135a49bdef377840c6e9b647981b,2025-11-13,Replication & recovery,4,false,11
