category_regex,category_llm,agrees,fix_cnt
Build & platform,Build & platform,true,47
Build & platform,Client tools,false,1
Build & platform,Crash & corruption,false,3
Build & platform,Extensions & contrib,false,2
Build & platform,Other functionality,false,6
Build & platform,Performance,false,1
Build & platform,Security hardening (no CVE),false,2
Build & platform,Wrong results & planner,false,5
Client tools,Build & platform,false,5
Client tools,Client tools,true,35
Client tools,Crash & corruption,false,6
Client tools,Extensions & contrib,false,3
Client tools,Other functionality,false,32
Client tools,Performance,false,1
Client tools,Replication & recovery,false,3
Client tools,Wrong results & planner,false,12
Crash & corruption,Build & platform,false,2
Crash & corruption,Client tools,false,6
Crash & corruption,Crash & corruption,true,185
Crash & corruption,Extensions & contrib,false,3
Crash & corruption,Other functionality,false,16
Crash & corruption,Performance,false,1
Crash & corruption,Replication & recovery,false,28
Crash & corruption,Security hardening (no CVE),false,3
Crash & corruption,Wrong results & planner,false,60
Extensions & contrib,Build & platform,false,3
Extensions & contrib,Client tools,false,2
Extensions & contrib,Crash & corruption,false,2
Extensions & contrib,Extensions & contrib,true,19
Extensions & contrib,Other functionality,false,8
Extensions & contrib,Performance,false,2
Extensions & contrib,Security hardening (no CVE),false,1
Extensions & contrib,Wrong results & planner,false,20
Other functionality,Build & platform,false,9
Other functionality,Client tools,false,5
Other functionality,Crash & corruption,false,26
Other functionality,Extensions & contrib,false,3
Other functionality,Other functionality,true,63
Other functionality,Performance,false,7
Other functionality,Replication & recovery,false,4
Other functionality,Security hardening (no CVE),false,3
Other functionality,Wrong results & planner,false,211
Performance,Crash & corruption,false,2
Performance,Performance,true,5
Performance,Wrong results & planner,false,2
Replication & recovery,Build & platform,false,2
Replication & recovery,Client tools,false,4
Replication & recovery,Crash & corruption,false,8
Replication & recovery,Extensions & contrib,false,1
Replication & recovery,Other functionality,false,16
Replication & recovery,Performance,false,3
Replication & recovery,Replication & recovery,true,57
Replication & recovery,Security hardening (no CVE),false,5
Replication & recovery,Wrong results & planner,false,16
Security hardening (no CVE),Crash & corruption,false,8
Security hardening (no CVE),Security hardening (no CVE),true,4
Security hardening (no CVE),Wrong results & planner,false,1
Wrong results & planner,Build & platform,false,1
Wrong results & planner,Crash & corruption,false,1
Wrong results & planner,Performance,false,1
Wrong results & planner,Wrong results & planner,true,60
