ships_at_dt,window_days,shipped_fix_cnt,early_report_cnt,early_message_cnt,early_fix_cnt
2023-02-09,19,57,18,1845,37
2023-05-11,19,82,31,1965,24
2023-08-10,19,47,23,1269,14
2023-11-09,19,70,16,1405,14
2024-02-08,19,71,29,1692,34
2024-05-09,19,58,29,1815,28
2024-08-08,19,55,21,1887,16
2024-11-14,19,68,21,1737,21
2025-02-13,19,74,26,1842,46
2025-05-08,19,62,25,2263,35
2025-08-14,19,71,26,1285,19
2025-11-13,19,78,18,1905,25
2026-02-12,19,75,18,2316,45
2026-05-14,19,73,24,2033,37
2026-08-13,19,142,25,1368,34
