branch,commit_hash,commit_dt,subject,is_plumbing,ai_credit
REL_15_STABLE,07ce6769824c4081208122ae3c1b38812e4715ed,2022-10-11,Yet further fixes for multi-row VALUES lists for updatable views.,0,
REL_15_STABLE,e7b4ff327c4d5cc8ff3eaebff9c79c28232cabdd,2022-10-11,Harden pmsignal.c against clobbered shared memory.,0,
REL_15_STABLE,42d203ccfa8741ca8086e33f98aaa6c169063ef7,2022-10-12,Doc: improve recommended systemd unit file.,0,
REL_15_STABLE,91416f45f8bb8c4466e577efd79822be11645794,2022-10-12,doc: Fix description of replication command CREATE_REPLICATION_SLOT,0,
REL_15_STABLE,f7eec7fe38676f0be78640f0d4d77c3e4ffcc6d6,2022-10-13,Fix typo in CREATE PUBLICATION reference page,0,
REL_15_STABLE,27ca0bce5f41cecc3b219cc9d675239a79d7562a,2022-10-14,libpq: Reset singlerow flag correctly in pipeline mode,0,
REL_15_STABLE,16d11d68437a6a37af1fea08d4a29ef463f0d62c,2022-10-15,Disallow MERGE cleanly for foreign partitions,0,
REL_15_STABLE,24c4c2617138b1b14def8bd39dfe228c862ea129,2022-10-16,Rename parser token REF to REF_P to avoid a symbol conflict.,0,
REL_15_STABLE,bd4b2926ecc25b4435f816ce4ec542d9a01cdb09,2022-10-16,"Use libc's snprintf, not sprintf, for special cases in snprintf.c.",0,
REL_15_STABLE,d4abb0bc5abb5dcb351956aed70f317a6bc494ba,2022-10-16,Fix EXPLAIN of SEARCH BREADTH FIRST with a constant initial value.,0,
REL_15_STABLE,189db21e2ac41a719b8e70ac35b3d0b05b352f14,2022-10-17,doc:  warn pg_stat_reset() can cause vacuum/analyze problems,0,
REL_15_STABLE,2e3326929b0ba9f421f2ab1270c57b294c208a99,2022-10-17,Guard against table-AM-less relations in planner.,0,
REL_15_STABLE,4a41a069e7ac78e0a8b700fac181f59a234f8606,2022-10-17,"Reject non-ON-SELECT rules that are named ""_RETURN"".",0,
REL_15_STABLE,9ebcb5ffdf3a1f49388c38ba5273370f49bf7d19,2022-10-17,Fix calculation related to temporary WAL segment name in basic_archive,0,
REL_15_STABLE,ef325ee04dd407b7f3cef35e0e5722cbb5a9576d,2022-10-17,doc:  move the mention of aggregate JSON functions up in section,0,
REL_15_STABLE,25fb9579bbb97c65d6b007c3de803c81abb4b240,2022-10-18,Improve errhint for ALTER SUBSCRIPTION ADD/DROP PUBLICATION,0,
REL_15_STABLE,f2f7e509e6a96329805ecaf30fb64ba4c7f4b0d2,2022-10-18,Rename SetSingleFuncCall() to InitMaterializedSRF(),0,
REL_15_STABLE,5d2a47a2924240606ce1c57c98490fa41752ad41,2022-10-19,Rework shutdown callback of archiver modules,0,
REL_15_STABLE,af64846e1cca9628fd3d816d3de3ae414c4891b4,2022-10-19,Track LLVM 15 changes.,0,
REL_15_STABLE,536a3b87037b7eac1e9e2780738a0056d89634f6,2022-10-20,Doc: fix outdated wording about parallel seq scans,0,
REL_15_STABLE,64ff0fe4e8c47fc390bb645d48ba38675494a2b4,2022-10-20,Fix assertion failures while processing NEW_CID record in logical decoding.,0,
REL_15_STABLE,10eaa975018f7ea88f5d0af5af40b2d3749b3ca8,2022-10-21,Add CHECK_FOR_INTERRUPTS while restoring changes during decoding.,0,
REL_15_STABLE,343afa9671060c3d6482d1252207a64cc5ddd23d,2022-10-21,Fix executing invalidation messages generated by subtransactions during decoding.,0,
REL_15_STABLE,5c013e620c911d728f653785843eb3c272c43538,2022-10-21,pg_basebackup: Fix cross-platform tablespace relocation.,0,
REL_15_STABLE,4a6de748d3429cfa081942c46411d62341867bfd,2022-10-22,psql: Fix exit status when query is canceled,0,
REL_15_STABLE,fb2a83b2b750a32ddfd107a75a3bc173f4f0a81f,2022-10-24,Update some comments that should've covered MERGE,0,
REL_15_STABLE,f975df7203607c51f2f6284b54e7394a33f575ed,2022-10-25,doc: Fix type of cursor_position in jsonlog table,0,
REL_15_STABLE,ca4070f2b4b1ed62e3d333a51a2f412b1c841ba4,2022-10-26,Fix ordering issue with WAL operations in GIN fast insert path,0,
REL_15_STABLE,3395cc1dbae5f5713373e59510425138da8cecb4,2022-10-29,"Under has_wal_read_bug, skip recovery/t/032_relfilenode_reuse.pl.",0,
REL_15_STABLE,1f1865e9083625239769c26f68b9c2861b8d4b1c,2022-11-01,Fix planner failure with extended statistics on partitioned tables.,0,
REL_15_STABLE,8b0a5cf3fe48a929b26e6e305f0765cf383d2ade,2022-11-01,pg_stat_statements: fetch stmt location/length before it disappears.,0,
REL_15_STABLE,c3d16eb3d5f1ee843017a059fe3e272061bb9875,2022-11-01,Update time zone data files to tzdata release 2022f.,1,
REL_15_STABLE,d2354b6eecccb78fe697a270bd97298cbc63f477,2022-11-01,Remove incorrect name from release notes,0,
REL_15_STABLE,0eede9625659d47a9b3fb1292f71c8b16667326b,2022-11-02,pg_dump: fix failure to dump comments on constraints in some cases.,0,
REL_15_STABLE,23f44276123031d21cffeb699d9863149e1c734f,2022-11-02,Fix outdated comment in tuplesort.h,0,
REL_15_STABLE,414d29a826f3a63fabae5e9ac2eb5b17f03787d8,2022-11-02,Defend against unsupported partition relkind in logical replication worker.,0,
REL_15_STABLE,468a9f37fb69065760054c83d2ee9aa01910a495,2022-11-02,doc: Fix some descriptions related to pg_ident_file_mappings,0,
REL_15_STABLE,a5737e765d85c170a035ee5eedf5d4cd8e9d5128,2022-11-02,Allow use of __sync_lock_test_and_set for spinlocks on any machine.,0,
REL_15_STABLE,d5e1748f02fb54cff276e7714be474f4e9a9de72,2022-11-02,Fix copy-and-pasteo in comment.,0,
REL_15_STABLE,387e059f8e9c506aba17d63e7220cad2f488f238,2022-11-03,docs: Improve pg_settings_get_flags docs.,0,
REL_15_STABLE,725cd4d2e4819056993ce32336ea130473eb02a1,2022-11-03,Add casts to simplehash.h to silence C++ warnings.,0,
REL_15_STABLE,c301e1c0c09cfedce9eb469744384a6d15e50745,2022-11-03,Create FKs properly when attaching table as partition,0,
REL_15_STABLE,f2dc7f9e35a288d21dfdd74e56f8809862d02dd6,2022-11-03,Avoid crash after function syntax error in a replication worker.,0,
REL_15_STABLE,2c6d43650d16d91a3e731d236315beffd98db729,2022-11-04,Fix CREATE DATABASE so we can pg_upgrade DBs with OIDs above 2^31.,0,
REL_15_STABLE,81173264440d7d3bd6479313b1d4611a2bfe8031,2022-11-04,Correct error message for row-level triggers with transition tables on partitioned tables.,0,
REL_15_STABLE,bc62182f0afe6b01fec45b8d26df03fc9de4599a,2022-11-04,First-draft release notes for 15.1.,1,
REL_15_STABLE,ca3f0d44ac6a6794a89e59b1ff80613b12c792ba,2022-11-06,"Release notes for 15.1, 14.6, 13.9, 12.13, 11.18, 10.23.",1,
REL_15_STABLE,0bc9872b1106fa5cdd488bc0ddafb270b2e7540a,2022-11-07,Translation updates,1,
REL_15_STABLE,5fe0ab42015ae8b084d959ac79cd7ee26de57b62,2022-11-07,Fix failure to remove non-first segments of temporary tables.,0,
REL_15_STABLE,7134af1149247d956d32c994fa00a844f2bdc796,2022-11-07,Translation updates,1,
REL_15_STABLE,b7f9c762a8e10a64866309b64b785a4496bcd194,2022-11-07,Last-minute updates for release notes.,1,
REL_15_STABLE,c5dc80c1bc216f0e21a2f79f5e0415c2d4cfb35d,2022-11-07,Stamp 15.1.,1,
REL_15_STABLE,362ba3e932c0f343a199b74f94ca7b22f4f8448d,2022-11-08,Doc: improve tutorial section about grouped aggregates.,0,
REL_15_STABLE,7b6610508d68f0c6191c01e824d90051295a39fc,2022-11-09,Apply a better fix to mdunlinkfork().,0,
REL_15_STABLE,e70cd16f2223d76d4f00453eb2cc067d992ed4f3,2022-11-09,Doc: add comments about PreventInTransactionBlock/IsInTransactionBlock.,0,
REL_15_STABLE,576506303c2a1b38383dc905db5f6e11b13ce872,2022-11-10,Re-allow building on Microsoft Visual Studio 2013.,0,
REL_15_STABLE,5962c8cbe5a6f02aa638279822cc59bd364e2081,2022-11-10,Fix comment of SimpleLruInit() in slru.c,0,
REL_15_STABLE,9c1a4fc891646110fe9b306fe4103f052504d6d9,2022-11-10,Fix alter_table.sql test case to test what it claims to.,0,
REL_15_STABLE,daadb42e92ed903642bce314e9c7a0325ee6b1b2,2022-11-10,Fix comments atop ReorderBufferAddInvalidations.,0,
REL_15_STABLE,7bf713dd2d0739fbcd4103971ed69c17ebe677ea,2022-11-11,Fix theoretical torn page hazard.,0,
REL_15_STABLE,e5f94d42eb38f39af81f934d70c3969913f2862e,2022-11-12,"If wait_for_catchup fails under has_wal_read_bug, skip balance of test.",0,
REL_15_STABLE,0086ee356fd9fd0ced2f21e6b31031cb28b4a64a,2022-11-13,Use installed postgresql.conf.sample for GUC sanity TAP test,0,
REL_15_STABLE,7a387f513d6c583b1c3fe5e4e0ea2b8cb92c85da,2022-11-13,Make PostgreSQL::Test::Cluster::config_data more flexible,0,
REL_15_STABLE,f754e7600a9284b6de8eb78b6b64aa9b46dc80db,2022-11-13,Doc: remove pg_prepared_statements.result_types from v15 docs.,0,
REL_15_STABLE,e49e191815b6a7fc801e03cf798fb83d3b7f2501,2022-11-14,Fix cleanup lock acquisition in SPLIT_ALLOCATE_PAGE replay.,0,
REL_15_STABLE,1eaa48e998e20766d70ed80cf538f3871d1c562c,2022-11-17,doc: Fix wording of MERGE actions in README,0,
REL_15_STABLE,3d45edcef0e141f2a17a21d0411efa889f843b00,2022-11-17,Fix MERGE tuple count with DO NOTHING,0,
REL_15_STABLE,41afaa1ed4d40330a7f51f7b398064657b87831b,2022-11-17,Account for IPC::Run::result() Windows behavior change.,0,
REL_15_STABLE,cefe182533f38406e032b573dcf506c8da2b0faf,2022-11-17,Fix outdated comment in ExecDelete,0,
REL_15_STABLE,df4e93bea4f9370c14f01d27e6d36cbe7afaac72,2022-11-18,Fix version comparison in Version.pm,0,
REL_15_STABLE,8e3f104440eeaa407479f0a9287acea483a5108b,2022-11-19,Doc: sync src/tutorial/basics.source with SGML documentation.,0,
REL_15_STABLE,a0d35ebcc570265405a293e509dccbdf0fd5ee45,2022-11-19,"Fix mislabeling of PROC_QUEUE->links as PGPROC, fixing UBSan on 32bit",0,
REL_15_STABLE,ad0867314daa8181031071f316f4c85e87755718,2022-11-19,Disable debug_discard_caches in test_oat_hooks test.,0,
REL_15_STABLE,0353db996e37c6b923863ee648f4d2f153bf619d,2022-11-21,Add comments and a missing CHECK_FOR_INTERRUPTS in ts_headline.,0,
REL_15_STABLE,4f997ad06255a2e2cb23c9ba1c30bf42ceb8fbb5,2022-11-21,Replace link to Hunspell with the current homepage,0,
REL_15_STABLE,b8988cf1d0a74f2e394278e0d88c2c133ee252fb,2022-11-21,Mark pageinspect's disk-accessing functions as parallel restricted.,0,
REL_15_STABLE,ff9d27ee2b8bbf15ef974732671df9df662f0cf9,2022-11-21,Prevent instability in contrib/pageinspect's regression test.,0,
REL_15_STABLE,1118a8d2c4f5b6dccf1845c73403d036df679648,2022-11-22,Remove useless MERGE test,0,
REL_15_STABLE,153e21567750d37b031123d3bbf14f9e2434f4b2,2022-11-22,Prevent port collisions between concurrent TAP tests,0,
REL_15_STABLE,1ad033df16df8d9f9e9f597ca31915266dfbdfb9,2022-11-22,Ignore invalidated slots while computing oldest catalog Xmin,0,
REL_15_STABLE,2debceed2947029b7368d091be4442eccc798e4f,2022-11-22,YA attempt at taming worst-case behavior of get_actual_variable_range.,0,
REL_15_STABLE,2c0d0ee761551582c9cd3727d444b7408aa82db7,2022-11-23,Fix perl warning from commit 9b4eafcaf4,0,
REL_15_STABLE,f63f29733e2f4fe58f52557699242b80e23e19ee,2022-11-24,Make multixact error message more explicit,0,
REL_15_STABLE,04d61bfe64c9098aa737d0bea428b46a46b358bb,2022-11-25,Fix rule-detection code for MERGE.,0,
REL_15_STABLE,898ef41bf6f400264616444fbaea669e0685f98f,2022-11-25,Fix uninitialized access to InitialRunningXacts during decoding.,0,
REL_15_STABLE,fc02019c09feab1f371fb5881f2f050ce6e30ea9,2022-11-25,Fix handling of pending inserts in nodeModifyTable.c.,0,
REL_15_STABLE,fed54fc9a5819d43ab60518306925c38f5e2bc43,2022-11-25,Allow building with MSVC and Strawberry perl,0,
REL_15_STABLE,3ae0c48a59f747905f26acd38fecdc3e3f505b5b,2022-11-26,Remove temporary portlock directory during make [dist]clean.,0,
REL_15_STABLE,fec24b75230e59ebf90ea5acadb577a1e2b2e923,2022-11-26,Add portlock directory to .gitignore,0,
REL_15_STABLE,b5d8fd4182f24ee489aa6bb72308f8712cd8810d,2022-11-27,Fix binary mismatch for MSVC plperl vs gcc built perl libs,0,
REL_15_STABLE,15571ccd190b242b944422a663a8269f8f688d4f,2022-11-29,Fix comment in fe-auth-scram.c,0,
REL_15_STABLE,556c0b913be150b92ee9fb250d2d5acc6d28f4c2,2022-11-29,Remove bogus Assert and dead code in remove_useless_results_recurse().,0,
REL_15_STABLE,55fa993d7eacb3f3ef99015649d44606201767e5,2022-11-29,Improve heuristics for compressing the KnownAssignedXids array.,0,
REL_15_STABLE,5dfc2b753b0f40ea036bcf621f827b800a422aac,2022-11-29,Prevent clobbering of utility statements in SQL function caches.,0,
REL_15_STABLE,8592b56faf86be1a8684544ad3a93e2fe8f5aa1b,2022-11-30,doc:  add transaction processing chapter with internals info,0,
REL_15_STABLE,f2f9e11d35226ff8d4cbb737b7c31d072e212178,2022-11-30,Reject missing database name in pg_regress and cohorts.,0,
REL_15_STABLE,9377b4f30a14e1c79183b3138fa88fc99d4a872a,2022-12-01,Fix memory leak for hashing with nondeterministic collations.,0,
REL_15_STABLE,a711b36e5b88e786f541b6c5671f28e997e68415,2022-12-01,Fix under-parenthesized display of AT TIME ZONE constructs.,0,
REL_15_STABLE,afa4a4f764cca2d0232d9f12d0a268c3804afce7,2022-12-01,Doc: word-smith the discussion of secure schema usage patterns.,0,
