month_dt,month_date_key,origin,commit_cnt,ai_commit_cnt,cited_thread_cnt
2021-10-01,20211001,pgsql-bugs,12,0,11
2021-10-01,20211001,pgsql-hackers,62,0,54
2021-10-01,20211001,unknown_or_internal_not_security,79,0,56
2021-11-01,20211101,pgsql-bugs,13,0,13
2021-11-01,20211101,pgsql-hackers,82,0,69
2021-11-01,20211101,unknown_or_internal_not_security,74,0,46
2021-12-01,20211201,pgsql-bugs,8,0,7
2021-12-01,20211201,pgsql-hackers,68,0,52
2021-12-01,20211201,unknown_or_internal_not_security,43,0,27
2022-01-01,20220101,pgsql-bugs,18,0,17
2022-01-01,20220101,pgsql-hackers,104,0,97
2022-01-01,20220101,unknown_or_internal_not_security,66,0,34
2022-02-01,20220201,pgsql-bugs,14,0,12
2022-02-01,20220201,pgsql-hackers,119,0,111
2022-02-01,20220201,unknown_or_internal_not_security,49,0,21
2022-03-01,20220301,pgsql-bugs,7,0,7
2022-03-01,20220301,pgsql-hackers,173,0,140
2022-03-01,20220301,unknown_or_internal_not_security,86,0,51
2022-04-01,20220401,pgsql-bugs,4,0,5
2022-04-01,20220401,pgsql-hackers,162,0,122
2022-04-01,20220401,unknown_or_internal_not_security,88,0,33
2022-05-01,20220501,pgsql-bugs,11,0,11
2022-05-01,20220501,pgsql-hackers,95,0,86
2022-05-01,20220501,unknown_or_internal_not_security,40,0,12
2022-06-01,20220601,pgsql-bugs,9,0,9
2022-06-01,20220601,pgsql-hackers,48,0,41
2022-06-01,20220601,unknown_or_internal_not_security,21,0,6
2022-07-01,20220701,pgsql-bugs,11,0,7
2022-07-01,20220701,pgsql-hackers,215,0,176
2022-07-01,20220701,unknown_or_internal_not_security,63,0,20
2022-08-01,20220801,pgsql-bugs,17,0,14
2022-08-01,20220801,pgsql-hackers,189,0,149
2022-08-01,20220801,unknown_or_internal_not_security,63,0,28
2022-09-01,20220901,pgsql-bugs,15,0,13
2022-09-01,20220901,pgsql-hackers,193,0,163
2022-09-01,20220901,unknown_or_internal_not_security,61,0,28
2022-10-01,20221001,pgsql-bugs,5,0,4
2022-10-01,20221001,pgsql-hackers,129,0,109
2022-10-01,20221001,unknown_or_internal_not_security,24,0,16
2022-11-01,20221101,pgsql-bugs,11,0,11
2022-11-01,20221101,pgsql-hackers,148,0,139
2022-11-01,20221101,unknown_or_internal_not_security,40,0,7
2022-12-01,20221201,pgsql-bugs,11,0,11
2022-12-01,20221201,pgsql-hackers,139,0,112
2022-12-01,20221201,unknown_or_internal_not_security,33,0,9
2023-01-01,20230101,pgsql-bugs,9,0,8
2023-01-01,20230101,pgsql-hackers,171,0,137
2023-01-01,20230101,unknown_or_internal_not_security,31,0,13
2023-02-01,20230201,pgsql-bugs,20,0,19
2023-02-01,20230201,pgsql-hackers,109,0,102
2023-02-01,20230201,unknown_or_internal_not_security,33,0,11
2023-02-01,20230201,unknown_or_internal_security,1,0,0
2023-03-01,20230301,pgsql-bugs,31,0,29
2023-03-01,20230301,pgsql-hackers,202,0,168
2023-03-01,20230301,unknown_or_internal_not_security,50,0,20
2023-04-01,20230401,pgsql-bugs,12,0,12
2023-04-01,20230401,pgsql-hackers,172,0,147
2023-04-01,20230401,unknown_or_internal_not_security,58,0,28
2023-05-01,20230501,pgsql-bugs,10,0,10
2023-05-01,20230501,pgsql-hackers,86,0,80
2023-05-01,20230501,unknown_or_internal_not_security,46,0,3
2023-05-01,20230501,unknown_or_internal_security,3,0,0
2023-06-01,20230601,pgsql-bugs,14,0,14
2023-06-01,20230601,pgsql-hackers,81,0,69
2023-06-01,20230601,unknown_or_internal_not_security,28,0,8
2023-07-01,20230701,pgsql-bugs,8,0,6
2023-07-01,20230701,pgsql-hackers,139,0,119
2023-07-01,20230701,unknown_or_internal_not_security,25,0,14
2023-08-01,20230801,pgsql-bugs,6,0,6
2023-08-01,20230801,pgsql-hackers,105,0,79
2023-08-01,20230801,unknown_or_internal_not_security,29,0,6
2023-08-01,20230801,unknown_or_internal_security,2,0,0
2023-09-01,20230901,pgsql-bugs,23,0,21
2023-09-01,20230901,pgsql-hackers,102,0,89
2023-09-01,20230901,unknown_or_internal_not_security,20,0,15
2023-10-01,20231001,pgsql-bugs,14,0,13
2023-10-01,20231001,pgsql-hackers,151,0,129
2023-10-01,20231001,unknown_or_internal_not_security,48,0,30
2023-11-01,20231101,pgsql-bugs,16,0,13
2023-11-01,20231101,pgsql-hackers,123,0,108
2023-11-01,20231101,unknown_or_internal_not_security,64,0,47
2023-11-01,20231101,unknown_or_internal_security,4,0,0
2023-12-01,20231201,pgsql-bugs,13,0,9
2023-12-01,20231201,pgsql-hackers,112,0,94
2023-12-01,20231201,unknown_or_internal_not_security,27,0,9
2024-01-01,20240101,pgsql-bugs,30,0,28
2024-01-01,20240101,pgsql-hackers,162,0,134
2024-01-01,20240101,unknown_or_internal_not_security,49,0,14
2024-02-01,20240201,pgsql-bugs,14,0,14
2024-02-01,20240201,pgsql-hackers,129,0,111
2024-02-01,20240201,unknown_or_internal_not_security,31,0,13
2024-02-01,20240201,unknown_or_internal_security,2,0,0
2024-03-01,20240301,pgsql-bugs,10,0,10
2024-03-01,20240301,pgsql-hackers,239,0,206
2024-03-01,20240301,unknown_or_internal_not_security,68,0,25
2024-04-01,20240401,pgsql-bugs,5,0,5
2024-04-01,20240401,pgsql-hackers,243,0,206
2024-04-01,20240401,unknown_or_internal_not_security,92,0,38
2024-05-01,20240501,pgsql-bugs,11,0,8
2024-05-01,20240501,pgsql-hackers,97,0,93
2024-05-01,20240501,unknown_or_internal_not_security,45,0,4
2024-05-01,20240501,unknown_or_internal_security,1,0,0
2024-06-01,20240601,pgsql-bugs,20,0,17
2024-06-01,20240601,pgsql-hackers,84,0,69
2024-06-01,20240601,unknown_or_internal_not_security,41,0,3
2024-07-01,20240701,pgsql-bugs,14,0,13
2024-07-01,20240701,pgsql-hackers,238,0,186
2024-07-01,20240701,unknown_or_internal_not_security,36,0,22
2024-08-01,20240801,pgsql-bugs,14,0,13
2024-08-01,20240801,pgsql-hackers,158,0,117
2024-08-01,20240801,unknown_or_internal_not_security,38,0,10
2024-08-01,20240801,unknown_or_internal_security,1,0,0
2024-09-01,20240901,pgsql-bugs,11,0,12
2024-09-01,20240901,pgsql-hackers,154,0,129
2024-09-01,20240901,unknown_or_internal_not_security,38,0,13
2024-10-01,20241001,pgsql-bugs,20,0,20
2024-10-01,20241001,pgsql-hackers,180,0,145
2024-10-01,20241001,unknown_or_internal_not_security,40,0,10
2024-11-01,20241101,pgsql-bugs,20,0,19
2024-11-01,20241101,pgsql-hackers,127,0,114
2024-11-01,20241101,unknown_or_internal_not_security,48,0,17
