release_dt,release_quarter,release_month,early_window_days,early_fix_cnt,full_fix_cnt,early_fix_share
2023-02-09,1,Feb,20,38,121,0.314
2023-05-11,2,May,20,26,127,0.2047
2023-08-10,3,Aug,20,14,96,0.1458
2023-11-09,4,Nov,20,14,165,0.0848
2024-02-08,1,Feb,20,35,140,0.25
2024-05-09,2,May,20,30,124,0.2419
2024-08-08,3,Aug,20,16,125,0.128
2024-11-14,4,Nov,20,21,160,0.1313
2025-02-13,1,Feb,20,47,165,0.2848
2025-05-08,2,May,20,35,127,0.2756
2025-08-14,3,Aug,20,19,147,0.1293
2025-11-13,4,Nov,20,25,177,0.1412
2026-02-12,1,Feb,20,45,192,0.2344
2026-05-14,2,May,20,37,176,0.2102
2026-08-13,3,Aug,20,34,246,0.1382
