wave_dt,category,category_order,fixes,out_of_band
2022-11-10,Crash & corruption,2,8,0
2022-11-10,Wrong results & planner,3,1,0
2022-11-10,Replication & recovery,4,4,0
2022-11-10,Client tools,5,4,0
2022-11-10,Extensions & contrib,6,1,0
2022-11-10,Build & platform,8,4,0
2022-11-10,Other functionality,9,3,0
2023-02-09,Security (CVE),0,1,0
2023-02-09,Crash & corruption,2,13,0
2023-02-09,Wrong results & planner,3,3,0
2023-02-09,Replication & recovery,4,11,0
2023-02-09,Client tools,5,3,0
2023-02-09,Extensions & contrib,6,4,0
2023-02-09,Build & platform,8,2,0
2023-02-09,Other functionality,9,20,0
2023-05-11,Security (CVE),0,2,0
2023-05-11,Security hardening (no CVE),1,2,0
2023-05-11,Crash & corruption,2,37,0
2023-05-11,Wrong results & planner,3,4,0
2023-05-11,Replication & recovery,4,4,0
2023-05-11,Client tools,5,4,0
2023-05-11,Extensions & contrib,6,6,0
2023-05-11,Build & platform,8,6,0
2023-05-11,Other functionality,9,17,0
2023-08-10,Security (CVE),0,2,0
2023-08-10,Crash & corruption,2,19,0
2023-08-10,Wrong results & planner,3,3,0
2023-08-10,Replication & recovery,4,2,0
2023-08-10,Client tools,5,3,0
2023-08-10,Extensions & contrib,6,3,0
2023-08-10,Build & platform,8,1,0
2023-08-10,Other functionality,9,14,0
2023-11-09,Security (CVE),0,3,0
2023-11-09,Crash & corruption,2,16,0
2023-11-09,Wrong results & planner,3,2,0
2023-11-09,Replication & recovery,4,8,0
2023-11-09,Client tools,5,5,0
2023-11-09,Extensions & contrib,6,4,0
2023-11-09,Build & platform,8,3,0
2023-11-09,Other functionality,9,29,0
2024-02-08,Security (CVE),0,1,0
2024-02-08,Crash & corruption,2,14,0
2024-02-08,Wrong results & planner,3,3,0
2024-02-08,Replication & recovery,4,9,0
2024-02-08,Client tools,5,10,0
2024-02-08,Extensions & contrib,6,3,0
2024-02-08,Performance,7,1,0
2024-02-08,Build & platform,8,4,0
2024-02-08,Other functionality,9,26,0
