wave_dt,contributor,credit_cnt,first_seen_wave_dt,is_first_wave,is_out_of_band
2022-11-10,Amit Kapila,1,2022-11-10,false,false
2022-11-10,Andres Freund,1,2022-11-10,false,false
2022-11-10,Anton Melnikov,1,2022-11-10,false,false
2022-11-10,Bharath Rupireddy,1,2022-11-10,false,false
2022-11-10,Denis Laxalde,1,2022-11-10,false,false
2022-11-10,Jehan-Guillaume de Rorthais,1,2022-11-10,false,false
2022-11-10,Justin Pryzby,1,2022-11-10,false,false
2022-11-10,Kuroda Hayato,1,2022-11-10,false,false
2022-11-10,Masahiko Sawada,3,2022-11-10,false,false
2022-11-10,Matthias van de Meent,1,2022-11-10,false,false
2022-11-10,Maxim Orlov,1,2022-11-10,false,false
2022-11-10,Nathan Bossart,1,2022-11-10,false,false
2022-11-10,Peter Eisentraut,1,2022-11-10,false,false
2022-11-10,Richard Guo,1,2022-11-10,false,false
2022-11-10,Robert Haas,1,2022-11-10,false,false
2022-11-10,Shi Yu,1,2022-11-10,false,false
2022-11-10,Thomas Munro,1,2022-11-10,false,false
2022-11-10,Tom Lane,13,2022-11-10,false,false
2022-11-10,Zhang Mingli,1,2022-11-10,false,false
2022-11-10,zhaoqigui,1,2022-11-10,false,false
2022-11-10,Álvaro Herrera,2,2022-11-10,false,false
2023-02-09,Alexander Korotkov,1,2023-02-09,true,false
2023-02-09,Amit Langote,1,2023-02-09,true,false
2023-02-09,Andres Freund,4,2022-11-10,false,false
2023-02-09,Andrew Dunstan,2,2023-02-09,true,false
2023-02-09,Andrey Borodin,1,2023-02-09,true,false
2023-02-09,Antonin Houska,1,2023-02-09,true,false
2023-02-09,Bharath Rupireddy,1,2022-11-10,false,false
2023-02-09,Daniel Gustafsson,1,2023-02-09,true,false
2023-02-09,David G. Johnston,2,2023-02-09,true,false
2023-02-09,David Rowley,2,2023-02-09,true,false
2023-02-09,Dean Rasheed,6,2023-02-09,true,false
2023-02-09,Dmitry Astapov,1,2023-02-09,true,false
2023-02-09,Etsuro Fujita,1,2023-02-09,true,false
2023-02-09,Hou Zhijie,3,2023-02-09,true,false
2023-02-09,Jacob Champion,1,2023-02-09,true,false
2023-02-09,Jeff Davis,2,2023-02-09,true,false
2023-02-09,Justin Pryzby,1,2022-11-10,false,false
2023-02-09,Masahiko Sawada,2,2022-11-10,false,false
2023-02-09,Michail Nikolaev,1,2023-02-09,true,false
2023-02-09,Peter Eisentraut,1,2022-11-10,false,false
2023-02-09,Richard Guo,2,2022-11-10,false,false
2023-02-09,Robert Haas,1,2022-11-10,false,false
2023-02-09,Simon Riggs,2,2023-02-09,true,false
2023-02-09,Sirisha Chamarthi,1,2023-02-09,true,false
2023-02-09,Thomas Munro,1,2022-11-10,false,false
2023-02-09,Tom Lane,19,2022-11-10,false,false
2023-02-09,Tomas Vondra,1,2023-02-09,true,false
2023-02-09,Álvaro Herrera,1,2022-11-10,false,false
2023-05-11,Ajit Awekar,1,2023-05-11,true,false
2023-05-11,Aleksander Alekseev,1,2023-05-11,true,false
2023-05-11,Alexander Korotkov,2,2023-02-09,false,false
2023-05-11,Alexander Lakhin,4,2023-05-11,true,false
2023-05-11,Alexander Pyhalov,1,2023-05-11,true,false
2023-05-11,Andres Freund,4,2022-11-10,false,false
2023-05-11,Antonin Houska,1,2023-02-09,false,false
2023-05-11,Bharath Rupireddy,2,2022-11-10,false,false
2023-05-11,Daniel Watzinger,1,2023-05-11,true,false
2023-05-11,Daniil Anisimov,1,2023-05-11,true,false
2023-05-11,David Rowley,6,2023-02-09,false,false
2023-05-11,Dean Rasheed,6,2023-02-09,false,false
2023-05-11,Dmitry Dolgov,2,2023-05-11,true,false
2023-05-11,Dmitry Koval,1,2023-05-11,true,false
2023-05-11,Heikki Linnakangas,1,2023-05-11,true,false
2023-05-11,Jacob Champion,1,2023-02-09,false,false
2023-05-11,Jeff Davis,2,2023-02-09,false,false
2023-05-11,Juan José Santamaría Flecha,1,2023-05-11,true,false
2023-05-11,Karina Litskevich,1,2023-05-11,true,false
2023-05-11,Kyotaro Horiguchi,3,2023-05-11,true,false
2023-05-11,Masahiko Sawada,1,2022-11-10,false,false
2023-05-11,Matthias van de Meent,1,2022-11-10,false,false
2023-05-11,Melanie Plageman,1,2023-05-11,true,false
2023-05-11,Michael Paquier,4,2023-05-11,true,false
2023-05-11,Nathan Bossart,1,2022-11-10,false,false
2023-05-11,Onder Kalaci,1,2023-05-11,true,false
2023-05-11,Peter Eisentraut,2,2022-11-10,false,false
2023-05-11,Robert Haas,2,2022-11-10,false,false
2023-05-11,Ryo Matsumura,1,2023-05-11,true,false
2023-05-11,Shi Yu,2,2022-11-10,false,false
2023-05-11,Stephen Frost,1,2023-05-11,true,false
2023-05-11,Thomas Munro,5,2022-11-10,false,false
2023-05-11,Tom Lane,27,2022-11-10,false,false
