wave_dt,versions,n_releases,distinct_fixes,distinct_cves,security_fixes,out_of_band,partial_window
2022-11-10,15.1,1,25,0,0,0,1
2023-02-09,15.2,1,57,1,1,0,0
2023-05-11,15.3,1,82,2,4,0,0
2023-08-10,15.4,1,47,2,2,0,0
2023-11-09,15.5 / 16.1,2,70,3,3,0,0
2024-02-08,15.6 / 16.2,2,71,1,1,0,0
2024-05-09,15.7 / 16.3,2,58,1,1,0,0
2024-08-08,15.8 / 16.4,2,55,2,3,0,0
2024-11-14,15.9 / 16.5 / 17.1,3,68,4,5,0,0
2024-11-21,15.10 / 16.6 / 17.2,3,8,1,1,1,0
2025-02-13,15.11 / 16.7 / 17.3,3,74,1,1,0,0
2025-02-20,15.12 / 16.8 / 17.4,3,3,1,1,1,0
2025-05-08,15.13 / 16.9 / 17.5,3,62,1,1,0,0
2025-08-14,15.14 / 16.10 / 17.6,3,71,5,3,0,0
2025-11-13,15.15 / 16.11 / 17.7 / 18.1,4,78,2,2,0,0
2026-02-12,15.16 / 16.12 / 17.8 / 18.2,4,75,5,5,0,0
2026-02-26,15.17 / 16.13 / 17.9 / 18.3,4,9,2,2,1,0
2026-05-14,15.18 / 16.14 / 17.10 / 18.4,4,73,11,18,0,0
2026-08-13,15.19 / 16.15 / 17.11 / 18.6,4,142,31,34,0,0
