fix_key,content_hash,model,prompt_version,ai_found,ai_analyzed,ai_authored,ai_tooling,mentioned_only,vendor,disclosure_form,confidence,rationale
(blind) fix perl splitting of strings at newlines,62db0971131c43fe,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
001_libpq_pipeline.pl: use test::differences if available,0cd5ee4dc762ce38,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
002_pg_upgrade.pl: move pg_dump test code for better stability,d92669d5f4364942,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
002_pg_upgrade.pl: rename some variables for clarity,71bc74de18c3f18e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
035_standby_logical_decoding: add missing waits for replication,74c1c4557ce0f86e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
049_wait_for_lsn.pl: create function and procedure at once,c85ed6187b3b116b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
a few follow-up fixes for guc name quoting,f4f0ce04b3a28c77,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
a minor simplification for list manipulation,7d70771421e07a13,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
abort pgbench if script end is reached with an open pipeline,eb48cbc7e96edd06,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
abstract some more architecture-specific details away from simd functionality,ccaa86227bcea77e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"accept ""+infinity"" in date and timestamp[tz] input.",35b0d1d10cf4cf68,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
accept fractional seconds in jsonpath's datetime() method.,129c61a046e166bc,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
accept relations of any kind in lock table,b13fe1e0ca993ddc,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
accept sigquit during error recovery in auxiliary processes.,e4c151069cf93ba3,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
accept slightly-filled pages for tuples larger than fillfactor.,862a82ad0e4019ea,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
accessexclusivelock new relations just after assigning the oid.,807ce2cc91dd1ad7,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
accommodate very large dshash tables.,420992d6afb2d2ac,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
account for ipc::run::result() windows behavior change.,f550207aeb2207d2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
account for optimized minmax aggregates during ss_finalize_plan.,74abb864bf61672f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
account for startup rows when costing windowaggs,8412e177cec33180,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
account for toast data while scheduling parallel dumps.,4804ac3a85464370,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
acquire controlfilelock in relevant sql functions.,9a63bc42ab51daf1,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"acquire locks on views in acquireplannerlocks, too.",c19e0554c30f4c3e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
