item_ord,content_hash,model,prompt_version,category_llm,confidence,rationale
1,252b80cae0318a42,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a bug where large table segments were not properly removed, leading to potential disk space leakage and orphaned files, which is a corruption issue rather than a security or crash-related problem."
2,117af1fb73640f27,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an issue with handling DEFAULT tokens in a multi-row VALUES clause for an INSERT on an updatable view, which could cause type errors or crashes, indicating a fundamental problem in query planning or result generation."
3,9a34b92c1085d509,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses a naming convention issue for rules in PostgreSQL, specifically disallowing rules named _RETURN that are not on SELECT, which is about functionality and user experience rather than security, crashes, performance, or other primary categories."
4,fd0f9e26e670c097,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses an issue in EXPLAIN VERBOSE output for a specific query pattern, which relates to query planning and result presentation rather than security, crashes, or other categories."
5,61919d5e0b4f3b7f,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses an unsupported operation (MERGE on partitioned tables with foreign-table partitions) that previously caused an unclear error, indicating a planner or query execution issue rather than a security or crash problem."
6,ae6a6c17ea2205eb,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses incorrect or duplicate foreign key constraints being constructed during partition attachment, which directly impacts data integrity and query results, not security, crashes, or other categories."
7,1d688bb33322b3a9,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a planner failure related to extended statistics on partitioned or inherited tables, which directly impacts query planning and result accuracy."
8,8aec689c557208c7,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses a mis-ordering of WAL operations that could lead to incorrect results or planner behavior, specifically for GIN indexes, which affects data integrity and query planning."
9,226bd819fe971c4a,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses assertion failures in debug builds and memory leaks, which are fundamental issues related to crash prevention and data corruption, not security vulnerabilities or other categories."
10,bd68c7a1dd21dfc7,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses interrupt handling during logical decoding to improve replication worker shutdown behavior, which is a functional enhancement rather than a security, crash, or performance issue."
11,29447b27a77fa798,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses a crash in logical replication workers when attempting to replicate into a foreign-table partition, which is fundamentally about ensuring proper replication behavior and error handling within the replication subsystem."
12,9789337a7a09adf9,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a crash caused by a null pointer dereference or assertion failure due to a syntax error in a function definition within a replication worker, which is fundamentally about preventing a crash rather than security or other categories."
13,e0cc399cbeb753d9,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses a specific implementation detail of an archiver module's shutdown callback, which is not related to security, crashes, performance, or other primary categories, but rather to the correct functioning of a module's internal logic."
14,52fa6f2b7772ac41,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a crash caused by attempting to access a table without a table access method, which is a catalog-corruption scenario, making it fundamentally about preventing crashes rather than security or other categories."
15,1dc174a42002ea3e,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a postmaster crash due to corrupted shared memory, which directly relates to preventing crashes and corruption issues in the database system."
16,ecc072ea3032eb15,qwen3:30b-a3b,v2,Client tools,0.9,"The fix addresses a specific behavior in libpq, which is a client library for PostgreSQL, concerning how it handles single-row mode with pipelining, directly impacting client-side operations."
17,2f81d6e087b9dbb3,qwen3:30b-a3b,v2,Client tools,0.95,"The fix addresses the behavior of the psql client tool's exit status when a command-line query is canceled, directly impacting client-side functionality."
18,2794bb257eef244a,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix enables cross-platform tablespace relocation during pg_basebackup by supporting both Unix-style and Windows-style absolute paths, addressing a usability and compatibility issue without impacting security, crashes, or core functionality."
19,8cd426e7eff5b52c,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses an issue with pg_dump not correctly handling comments on CHECK constraints, which is a functional enhancement rather than a security, crash, performance, or other core category."
20,8e84aacc6d58ccb5,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses a limitation in the CREATE DATABASE command regarding OID parameter handling, which is a functional enhancement rather than a security issue, crash, or other category-specific problem."
21,5dfad0041131296c,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses accessing already-freed memory, which can lead to corruption or crashes, particularly when memory is reused, rather than being a security issue or a correctness problem in query results."
22,c0a16a8e3e2906d8,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses compatibility issues with LLVM 15, which relates to the build process and platform dependencies, not security, crashes, or other functional aspects."
23,dcd2afcf350cc703,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses portability across machine architectures by enabling a specific compiler builtin, which is fundamentally about build and platform compatibility."
24,f1618b5d18e77c11,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses a symbol naming conflict causing a compile failure on macOS, which is a platform-specific build issue."
25,6466cbf45b928ba8,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses compile-time deprecation warnings related to the use of sprintf, which is a build/platform issue rather than a security, crash, or functional problem."
26,e1fb548e96ce33e1,qwen3:30b-a3b,v2,Security hardening (no CVE),0.95,"The fix addresses a memory disclosure vulnerability where libpq could leak application memory contents due to improper handling of non-zero-terminated error messages during GSSAPI encryption setup, which is a security weakness rather than a crash or other symptom."
27,fc1e1702abf8ff91,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an issue where GENERATED columns in child tables were not being correctly updated during an UPDATE on partitioned tables or inheritance trees, leading to incorrect results due to improper planner handling of column dependencies."
28,f5bfdeb3a1c3fc30,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a scenario where MERGE operations incorrectly failed to compute GENERATED columns during INSERT actions, leading to potential incorrect results due to planner behavior."
29,5096418d8e69e44e,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a logical error in the MERGE statement's planner logic, where unreachable WHEN clauses were not properly detected, potentially leading to incorrect query execution or unexpected behavior."
30,8ac28fc8a6535643,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a test failure related to MERGE not being supported on tables with rules, which impacts the correctness of query execution and planner behavior."
31,bbcd8a055060076c,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a discrepancy between the code's behavior and documentation regarding tuple processing in MERGE, which affects result accuracy and planner behavior."
32,686decadeae8a915,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a specific issue where a recursive CTE with a CYCLE clause could not access its output column, leading to incorrect behavior or failure in query execution, which falls under the category of 'Wrong results & planner' as it pertains to query semantics and planner behavior."
33,266bd8a8f8e10ee1,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses logical inconsistencies in trigger behavior during bulk inserts to foreign tables, which directly impacts the correctness of query results and the planner's handling of data visibility."
34,f3dfeb4b795bfa1a,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses a specific behavior in pg_dump related to REPLICA IDENTITY on partitioned indexes, which is a functional enhancement rather than a security, crash, or performance issue."
35,6f9654a1ea5a26fc,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an issue where DEFAULT markers in INSERT statements with multi-row VALUES lists were not correctly replaced, causing an error that would lead to incorrect query execution or failure, fundamentally related to query planning and result accuracy."
36,e257c93662363c3e,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a logical error where undefined variables in jsonpath existence checks were incorrectly treated as matches, leading to incorrect query results."
37,ac9d59806e786ef2,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses incorrect behavior in jsonb subscripting when using toasted values, leading to mismatched elements or garbage keys, which directly impacts query results and planner behavior."
38,f578b6fe8b6e7d64,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a specific data corruption issue in parallel hash joins caused by a fencepost bug, which directly impacts data integrity and is categorized under 'Crash & corruption' as it involves corruption of data rather than a crash or other category."
39,6f06c79f1e2ac7e2,qwen3:30b-a3b,v2,Wrong results & planner,0.8,"The fix addresses a misalignment between the configured checkpoint_completion_target setting and the actual checkpoint behavior, which could lead to unexpected performance characteristics but does not directly cause incorrect query results or planner issues; however, the primary concern is the deviation from expected checkpoint behavior, which is more aligned with performance tuning than a direct 'Performance' category."
40,4862be874c1dfac0,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses a logging issue specifically related to recovery target settings in PostgreSQL's recovery process, which falls under replication and recovery operations."
41,6e5f249242ccc98f,qwen3:30b-a3b,v2,Wrong results & planner,0.8,"The fix addresses incorrect error reporting in replication logic, which could lead to misinterpretation of file read failures, affecting the accuracy of error messages and potentially the behavior of replication processes."
42,ac92ba60b4eb0b29,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses a limitation in input functions for specific data types, enabling support for larger column lists required by logical replication, which is a functional enhancement rather than a security, crash, or performance issue."
43,fce1f6fb05590680,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses an incorrect commit behavior during ANALYZE that could disrupt transaction integrity, affecting query planning and execution outcomes."
44,c1c58dd4441faae1,qwen3:30b-a3b,v2,Security hardening (no CVE),0.95,"The fix addresses a buffer over-read vulnerability that could lead to a crash or memory corruption, fundamentally about closing a security weakness rather than just a crash symptom."
45,62fdb4b317b6ff6f,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses planner preprocessing issues that could cause incorrect query planning or errors, specifically related to window function expressions, which directly impacts query results and planner behavior."
46,8da672611f26fbd0,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a dangling-pointer access issue during window function execution, which could lead to crashes or memory corruption, particularly on 32-bit builds."
47,830b6795b033fc86,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses a potential issue with query planning and execution, specifically preventing deep recursion and excessive time spent on subquery flattening, which could lead to incorrect behavior or performance issues in query planning."
48,2c1973983f4dc90c,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses planner issues that could lead to incorrect query plans or failure to use Memoize optimally, directly impacting query result correctness and planning behavior."
49,96aa4737a71feb8b,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an issue where the partitionwise-join code failed to handle cases where a plan couldn't be produced for each partition, leading to query plan errors, which directly impacts query planning and result correctness."
50,3b918b135c986e4a,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a performance issue in the planner related to index cleanup after large deletions, which could cause excessive work and performance hiccups, but does not affect correctness of results or lead to crashes/corruption."
51,b4bd7930bf633b56,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a potential crash or assertion failure caused by a relation's relkind change, which directly relates to preventing crashes and corruption in the statistics machinery."
52,4e5c98c2d86b8e34,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses incorrect display formatting of SQL constructs, which could lead to incorrect interpretation or processing of expressions during dump/restore operations, affecting query results and planner behavior."
53,82f206d4a16bbcd2,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a crash and potential errors caused by clobbering cached parsetrees, which directly relates to preventing crashes and data corruption in SQL functions."
54,e5a1d7032dadf6c5,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix ensures that full-text-search queries can be cancelled during phrase matching, which is about improving user control over query execution rather than addressing security, crashes, performance, or other specific categories."
55,c2955d8527f8851a,qwen3:30b-a3b,v2,Crash & corruption,0.9,"The fix addresses a memory leak, which is a form of resource corruption that can lead to crashes or instability, rather than being a security issue or related to incorrect results or performance."
56,9f2c3f504fbdc331,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses a deadlock issue specifically between DROP DATABASE and logical replication worker processes, which directly relates to replication and recovery mechanisms in PostgreSQL."
57,c871af2308eb89b8,qwen3:30b-a3b,v2,Crash & corruption,0.9,"The fix addresses a memory leak in libpq connection handling, which is a resource management issue that could lead to corruption or instability over time, rather than a security vulnerability or a direct crash."
58,e9d02f4cd936e7f8,qwen3:30b-a3b,v2,Performance,0.95,"The fix addresses performance degradation caused by inefficient tracking of XIDs on hot-standby servers, specifically reducing unnecessary processing effort when max_connections is high."
59,128207c68956eb14,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses an issue with replication slots preventing catalog bloat due to improper handling of invalidated slots, directly related to replication slot management and catalog cleanup in replication scenarios."
60,5b6f5ba6bd8bbe7a,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses a logical decoding issue where the subscriber wasn't notified about a crashed transaction, causing unnecessary file retention until restart, which is fundamentally about replication consistency and recovery behavior."
61,f068bef4d81f7743,qwen3:30b-a3b,v2,Crash & corruption,0.9,"The fix addresses uninitialized memory usage that could cause unpredictable behavior, which aligns with crash or corruption issues rather than security hardening."
62,4cb5e90c942f729c,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses inconsistent data visibility during two-phase transaction updates, which directly impacts result correctness and transaction consistency, not security or crashes."
63,4d2bb2c05e48192a,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses an issue in the pgoutput replication plugin related to sending unnecessary columns during replication events, which directly impacts replication behavior and data consistency between sender and receiver."
