wave_dt,version,item_index,category,dominant_subsystem,n_annotated_commits,n_matched_commits,n_files,lines_added,lines_deleted,touches_tests,docs_only
2022-11-10,15.1,0,Crash & corruption,core_server,2,2,1,12,6,0,0
2022-11-10,15.1,1,Crash & corruption,core_server,7,2,3,98,28,1,0
2022-11-10,15.1,2,Other functionality,core_server,7,2,1,12,0,0,0
2022-11-10,15.1,3,Other functionality,core_server,3,2,4,208,1,1,0
2022-11-10,15.1,4,Extensions & contrib,extensions_contrib,2,2,3,29,0,0,0
2022-11-10,15.1,5,Other functionality,core_server,9,3,2,40,10,1,0
2022-11-10,15.1,6,Wrong results & planner,core_server,2,2,3,18,4,1,0
2022-11-10,15.1,7,Replication & recovery,core_server,7,2,1,8,5,0,0
2022-11-10,15.1,8,Crash & corruption,extensions_contrib,12,3,4,78,0,0,0
2022-11-10,15.1,9,Replication & recovery,replication_recovery,13,3,1,2,0,0,0
2022-11-10,15.1,10,Crash & corruption,replication_recovery,4,2,1,17,3,0,0
2022-11-10,15.1,11,Crash & corruption,core_server,7,2,1,15,5,0,0
2022-11-10,15.1,12,Replication & recovery,core_server,2,2,4,33,21,1,0
2022-11-10,15.1,13,Crash & corruption,planner,5,2,1,18,0,0,0
2022-11-10,15.1,14,Crash & corruption,core_server,7,2,1,44,12,0,0
2022-11-10,15.1,15,Client tools,client_tools,3,2,3,70,7,1,0
2022-11-10,15.1,16,Client tools,client_tools,2,2,1,1,1,0,0
2022-11-10,15.1,17,Replication & recovery,core_server,7,2,2,34,20,0,0
2022-11-10,15.1,18,Client tools,client_tools,2,2,2,13,6,0,0
2022-11-10,15.1,19,Client tools,core_server,2,2,4,37,3,0,0
2022-11-10,15.1,20,Crash & corruption,extensions_contrib,7,2,1,14,2,0,0
2022-11-10,15.1,21,Build & platform,build_platform,6,2,4,113,0,0,0
2022-11-10,15.1,22,Build & platform,core_server,7,2,1,44,23,0,0
2022-11-10,15.1,23,Build & platform,core_server,12,2,2,5,5,0,0
2022-11-10,15.1,24,Build & platform,core_server,5,2,1,7,7,0,0
2023-02-09,15.2,0,Security (CVE),client_tools,5,2,1,2,0,0,0
2023-02-09,15.2,1,Other functionality,core_server,8,4,4,50,17,1,0
2023-02-09,15.2,2,Other functionality,core_server,2,2,3,37,2,1,0
2023-02-09,15.2,3,Other functionality,core_server,2,2,3,5,5,1,0
2023-02-09,15.2,4,Other functionality,core_server,2,2,1,2,1,0,0
2023-02-09,15.2,5,Other functionality,core_server,2,2,1,1,1,0,0
2023-02-09,15.2,6,Other functionality,core_server,3,2,3,129,73,1,0
2023-02-09,15.2,7,Other functionality,core_server,6,4,5,22,29,0,0
2023-02-09,15.2,8,Client tools,core_server,6,2,4,81,45,1,0
2023-02-09,15.2,9,Other functionality,core_server,6,2,3,104,55,1,0
2023-02-09,15.2,10,Other functionality,core_server,5,2,3,46,2,1,0
2023-02-09,15.2,11,Other functionality,core_server,3,2,5,90,18,1,0
2023-02-09,15.2,12,Crash & corruption,core_server,6,2,1,3,2,0,0
2023-02-09,15.2,13,Replication & recovery,core_server,6,2,1,1,1,0,0
2023-02-09,15.2,14,Replication & recovery,replication_recovery,6,2,1,7,2,0,0
2023-02-09,15.2,15,Replication & recovery,replication_recovery,4,2,2,21,15,0,0
2023-02-09,15.2,16,Replication & recovery,core_server,2,2,2,22,29,0,0
2023-02-09,15.2,17,Other functionality,core_server,6,2,5,45,16,0,0
2023-02-09,15.2,18,Crash & corruption,core_server,6,2,1,7,0,0,0
2023-02-09,15.2,19,Wrong results & planner,planner,2,2,2,12,0,0,0
2023-02-09,15.2,20,Other functionality,core_server,2,2,2,32,0,0,0
2023-02-09,15.2,21,Other functionality,planner,6,2,1,12,0,0,0
2023-02-09,15.2,22,Wrong results & planner,planner,6,4,5,63,3,1,0
2023-02-09,15.2,23,Other functionality,planner,6,2,1,14,2,0,0
2023-02-09,15.2,24,Wrong results & planner,core_server,6,2,1,40,5,0,0
2023-02-09,15.2,25,Crash & corruption,core_server,2,2,1,7,0,0,0
2023-02-09,15.2,26,Other functionality,core_server,3,2,3,20,17,1,0
2023-02-09,15.2,27,Crash & corruption,core_server,3,2,1,1,1,0,0
2023-02-09,15.2,28,Other functionality,core_server,6,2,4,60,21,0,0
2023-02-09,15.2,29,Crash & corruption,core_server,5,2,2,4,0,0,0
2023-02-09,15.2,30,Crash & corruption,replication_recovery,3,2,2,7,10,1,0
2023-02-09,15.2,31,Crash & corruption,replication_recovery,6,2,3,32,13,1,0
2023-02-09,15.2,32,Replication & recovery,core_server,6,2,3,110,30,0,0
2023-02-09,15.2,33,Replication & recovery,replication_recovery,4,2,2,10,0,0,0
2023-02-09,15.2,34,Crash & corruption,replication_recovery,3,2,1,4,0,0,0
2023-02-09,15.2,35,Replication & recovery,replication_recovery,5,1,1,7,0,0,0
2023-02-09,15.2,36,Replication & recovery,replication_recovery,2,2,1,2,0,0,0
2023-02-09,15.2,37,Replication & recovery,replication_recovery,2,2,4,42,6,1,0
2023-02-09,15.2,38,Crash & corruption,core_server,6,2,2,9,6,0,0
2023-02-09,15.2,39,Replication & recovery,core_server,6,2,1,4,2,0,0
2023-02-09,15.2,40,Other functionality,core_server,3,2,1,46,27,0,0
2023-02-09,15.2,41,Other functionality,core_server,6,2,1,3,2,0,0
2023-02-09,15.2,42,Build & platform,core_server,6,2,1,14,10,0,0
2023-02-09,15.2,43,Crash & corruption,core_server,3,2,1,5,1,0,0
2023-02-09,15.2,44,Crash & corruption,planner,5,2,3,39,15,1,0
2023-02-09,15.2,45,Other functionality,core_server,6,2,1,3,3,0,0
2023-02-09,15.2,46,Crash & corruption,core_server,2,2,1,1,0,0,0
2023-02-09,15.2,47,Client tools,client_tools,2,2,1,7,2,0,0
2023-02-09,15.2,48,Client tools,client_tools,3,2,4,94,26,1,0
2023-02-09,15.2,49,Other functionality,client_tools,6,2,1,3,2,0,0
2023-02-09,15.2,50,Extensions & contrib,extensions_contrib,2,2,4,32,2,0,0
2023-02-09,15.2,51,Crash & corruption,extensions_contrib,6,2,4,33,7,0,0
2023-02-09,15.2,52,Extensions & contrib,core_server,4,1,1,10,0,0,0
2023-02-09,15.2,53,Extensions & contrib,extensions_contrib,6,2,1,2,0,0,0
2023-02-09,15.2,54,Extensions & contrib,build_platform,6,2,1,3,0,0,0
2023-02-09,15.2,55,Build & platform,core_server,6,2,2,37,0,0,0
2023-02-09,15.2,56,Replication & recovery,core_server,5,1,2,4,0,0,0
2023-05-11,15.3,0,Security (CVE),extensions_contrib,12,4,1,0,1,0,0
2023-05-11,15.3,1,Security (CVE),planner,6,2,3,54,0,1,0
2023-05-11,15.3,2,Crash & corruption,core_server,2,2,3,47,1,1,0
2023-05-11,15.3,3,Crash & corruption,core_server,2,2,1,4,3,0,0
2023-05-11,15.3,4,Crash & corruption,core_server,6,2,6,192,22,1,0
2023-05-11,15.3,5,Wrong results & planner,planner,4,4,3,45,3,1,0
2023-05-11,15.3,6,Other functionality,core_server,4,4,3,34,4,1,0
2023-05-11,15.3,7,Crash & corruption,core_server,4,4,8,636,174,1,0
2023-05-11,15.3,8,Build & platform,core_server,2,2,3,262,0,1,0
2023-05-11,15.3,9,Other functionality,core_server,2,2,6,76,12,1,0
2023-05-11,15.3,10,Other functionality,core_server,6,2,3,67,10,1,0
2023-05-11,15.3,11,Other functionality,core_server,5,2,3,23,10,1,0
2023-05-11,15.3,12,Other functionality,core_server,6,2,4,77,3,1,0
2023-05-11,15.3,13,Crash & corruption,core_server,6,2,1,12,4,0,0
2023-05-11,15.3,14,Security hardening (no CVE),core_server,6,2,3,16,2,1,0
2023-05-11,15.3,15,Security hardening (no CVE),core_server,6,2,3,14,5,1,0
2023-05-11,15.3,16,Build & platform,core_server,2,2,8,16,42,0,0
2023-05-11,15.3,17,Crash & corruption,core_server,2,2,3,9,1,1,0
2023-05-11,15.3,18,Extensions & contrib,core_server,2,2,3,37,38,1,0
2023-05-11,15.3,19,Crash & corruption,core_server,6,2,4,78,59,1,0
2023-05-11,15.3,20,Crash & corruption,core_server,5,2,1,73,12,0,0
2023-05-11,15.3,21,Crash & corruption,core_server,6,2,3,10,2,1,0
2023-05-11,15.3,22,Crash & corruption,core_server,6,2,1,3,0,0,0
2023-05-11,15.3,23,Wrong results & planner,planner,6,2,4,22,10,0,0
2023-05-11,15.3,24,Other functionality,planner,3,2,1,3,25,0,0
2023-05-11,15.3,25,Crash & corruption,planner,2,2,3,161,84,1,0
2023-05-11,15.3,26,Other functionality,core_server,6,2,1,10,1,0,0
2023-05-11,15.3,27,Crash & corruption,core_server,6,2,2,11,8,0,0
2023-05-11,15.3,28,Crash & corruption,core_server,5,2,3,21,2,1,0
2023-05-11,15.3,29,Wrong results & planner,core_server,6,2,3,288,31,1,0
2023-05-11,15.3,30,Crash & corruption,core_server,6,2,3,74,33,0,0
2023-05-11,15.3,31,Other functionality,core_server,5,2,8,280,207,1,0
2023-05-11,15.3,32,Crash & corruption,core_server,3,2,1,8,1,0,0
2023-05-11,15.3,33,Other functionality,extensions_contrib,3,2,3,48,2,0,0
2023-05-11,15.3,34,Other functionality,core_server,3,2,1,13,5,0,0
2023-05-11,15.3,35,Other functionality,core_server,6,2,1,1,1,0,0
2023-05-11,15.3,36,Crash & corruption,core_server,6,2,4,77,13,1,0
2023-05-11,15.3,37,Crash & corruption,core_server,6,2,5,332,134,1,0
2023-05-11,15.3,38,Crash & corruption,core_server,6,2,4,65,7,1,0
2023-05-11,15.3,39,Crash & corruption,core_server,6,2,3,60,4,1,0
2023-05-11,15.3,40,Build & platform,core_server,6,2,3,130,84,1,0
2023-05-11,15.3,41,Crash & corruption,core_server,11,4,1,31,18,0,0
2023-05-11,15.3,42,Replication & recovery,replication_recovery,6,2,1,22,4,0,0
2023-05-11,15.3,43,Other functionality,core_server,4,2,1,3,2,0,0
2023-05-11,15.3,44,Other functionality,core_server,3,2,1,7,0,0,0
2023-05-11,15.3,45,Crash & corruption,core_server,3,2,3,15,2,1,0
2023-05-11,15.3,46,Crash & corruption,core_server,6,2,1,13,4,0,0
2023-05-11,15.3,47,Replication & recovery,core_server,11,4,2,16,5,1,0
2023-05-11,15.3,48,Other functionality,core_server,4,2,1,1,1,0,0
2023-05-11,15.3,49,Other functionality,replication_recovery,3,2,1,2,0,0,0
2023-05-11,15.3,50,Replication & recovery,replication_recovery,4,2,1,1,1,0,0
2023-05-11,15.3,51,Replication & recovery,core_server,2,2,3,51,6,0,0
