tag,major,minor,tag_ts
REL_15_0,15,0,2022-10-10T16:57:37-04:00
REL_15_1,15,1,2022-11-07T16:36:53-05:00
REL_15_2,15,2,2023-02-06T16:39:04-05:00
REL_15_3,15,3,2023-05-08T17:13:20-04:00
REL_15_4,15,4,2023-08-07T16:08:18-04:00
REL_15_5,15,5,2023-11-06T17:06:45-05:00
REL_15_6,15,6,2024-02-05T16:43:21-05:00
REL_15_7,15,7,2024-05-06T16:23:18-04:00
REL_15_8,15,8,2024-08-05T16:07:10-04:00
REL_15_9,15,9,2024-11-11T17:45:41-05:00
REL_15_10,15,10,2024-11-18T15:35:15-05:00
REL_15_11,15,11,2025-02-10T18:24:55-05:00
REL_15_12,15,12,2025-02-17T16:14:22-05:00
REL_15_13,15,13,2025-05-05T16:31:49-04:00
REL_15_14,15,14,2025-08-11T17:08:18-04:00
REL_15_15,15,15,2025-11-10T16:56:47-05:00
REL_15_16,15,16,2026-02-09T16:55:28-05:00
REL_15_17,15,17,2026-02-23T17:01:47-05:00
REL_15_18,15,18,2026-05-11T15:49:58-04:00
REL_15_19,15,19,2026-08-10T16:57:41-04:00
REL_16_0,16,0,2023-09-11T16:25:06-04:00
REL_16_1,16,1,2023-11-06T17:04:27-05:00
REL_16_2,16,2,2024-02-05T16:41:37-05:00
REL_16_3,16,3,2024-05-06T16:21:25-04:00
REL_16_4,16,4,2024-08-05T16:05:35-04:00
REL_16_5,16,5,2024-11-11T17:44:10-05:00
REL_16_6,16,6,2024-11-18T15:33:54-05:00
REL_16_7,16,7,2025-02-10T18:23:16-05:00
REL_16_8,16,8,2025-02-17T16:13:08-05:00
REL_16_9,16,9,2025-05-05T16:30:08-04:00
REL_16_10,16,10,2025-08-11T17:06:43-04:00
REL_16_11,16,11,2025-11-10T16:55:22-05:00
REL_16_12,16,12,2026-02-09T16:53:53-05:00
REL_16_13,16,13,2026-02-23T17:00:20-05:00
REL_16_14,16,14,2026-05-11T15:48:18-04:00
REL_16_15,16,15,2026-08-10T16:56:00-04:00
REL_17_0,17,0,2024-09-23T16:02:53-04:00
REL_17_1,17,1,2024-11-11T17:42:37-05:00
REL_17_2,17,2,2024-11-18T15:32:12-05:00
REL_17_3,17,3,2025-02-10T18:21:12-05:00
REL_17_4,17,4,2025-02-17T16:11:21-05:00
REL_17_5,17,5,2025-05-05T16:28:35-04:00
REL_17_6,17,6,2025-08-11T17:04:51-04:00
REL_17_7,17,7,2025-11-10T16:53:58-05:00
REL_17_8,17,8,2026-02-09T16:51:54-05:00
REL_17_9,17,9,2026-02-23T16:58:47-05:00
REL_17_10,17,10,2026-05-11T15:46:41-04:00
REL_17_11,17,11,2026-08-10T16:54:09-04:00
REL_18_0,18,0,2025-09-22T16:11:33-04:00
REL_18_1,18,1,2025-11-10T16:52:06-05:00
REL_18_2,18,2,2026-02-09T16:49:49-05:00
REL_18_3,18,3,2026-02-23T16:56:43-05:00
REL_18_4,18,4,2026-05-11T15:44:35-04:00
REL_18_6,18,6,2026-08-11T14:38:31-04:00
