version,major,minor,date,n_items
15.0,15,0,2022-10-13,153
15.1,15,1,2022-11-10,26
15.2,15,2,2023-02-09,58
15.3,15,3,2023-05-11,83
15.4,15,4,2023-08-10,47
15.5,15,5,2023-11-09,60
15.6,15,6,2024-02-08,60
15.7,15,7,2024-05-09,52
15.8,15,8,2024-08-08,49
15.9,15,9,2024-11-14,46
15.10,15,10,2024-11-21,8
15.11,15,11,2025-02-13,48
15.12,15,12,2025-02-20,1
15.13,15,13,2025-05-08,38
15.14,15,14,2025-08-14,54
15.15,15,15,2025-11-13,54
15.16,15,16,2026-02-12,40
15.17,15,17,2026-02-26,5
15.18,15,18,2026-05-14,43
15.19,15,19,2026-08-13,90
16.0,16,0,2023-09-14,193
16.1,16,1,2023-11-09,59
16.2,16,2,2024-02-08,70
16.3,16,3,2024-05-09,57
16.4,16,4,2024-08-08,54
16.5,16,5,2024-11-14,54
16.6,16,6,2024-11-21,8
16.7,16,7,2025-02-13,55
16.8,16,8,2025-02-20,2
16.9,16,9,2025-05-08,48
16.10,16,10,2025-08-14,59
16.11,16,11,2025-11-13,59
16.12,16,12,2026-02-12,45
16.13,16,13,2026-02-26,6
16.14,16,14,2026-05-14,50
16.15,16,15,2026-08-13,98
17.0,17,0,2024-09-26,165
17.1,17,1,2024-11-14,41
17.2,17,2,2024-11-21,8
17.3,17,3,2025-02-13,71
17.4,17,4,2025-02-20,3
17.5,17,5,2025-05-08,61
17.6,17,6,2025-08-14,71
17.7,17,7,2025-11-13,65
17.8,17,8,2026-02-12,52
17.9,17,9,2026-02-26,6
17.10,17,10,2026-05-14,58
17.11,17,11,2026-08-13,109
18.0,18,0,2025-09-25,199
18.1,18,1,2025-11-13,53
18.2,18,2,2026-02-12,75
18.3,18,3,2026-02-26,9
18.4,18,4,2026-05-14,74
18.6,18,6,2026-08-13,140
