population,fix_key,list_name,root_message_id,ai_found,ai_analyzed,ai_authored,ai_tooling,mentioned_only,vendor,disclosure_form,verdict,note
commit,add two io wait events for copy from/to on a pipe/file/program,,,false,false,false,false,false,none,none,ok,
commit,avoid overflow in levenshtein distance calculations.,,,true,true,false,false,false,anthropic,trailer,wrong roles,
commit,avoid passing unintended format codes to snprintf().,,,true,false,false,false,false,other,trailer,ok,
commit,avoid treating nonrequired nbtree keys as required.,,,false,false,false,false,false,none,none,ok,
commit,confine ri fast-path batching to the top transaction level,,,false,false,false,false,false,none,none,ok,
commit,cross-check the type of a portal running execute or fetch.,,,true,false,false,false,false,anthropic,trailer,ok,
commit,"defend against null ""sv *"" pointers in plperl modules.",,,true,false,false,false,false,anthropic,trailer,ok,
commit,deparse for portion of using the range column's current name.,,,false,false,true,false,false,anthropic,prose,ok,
commit,doc: clean up documentation about text search datatype limits.,,,true,false,false,false,false,anthropic,trailer,wrong roles,
commit,doc: expand on proper use of refint.,,,false,false,false,false,false,none,none,ok,
commit,doc: improve consistency in varlistentry attributes,,,true,false,false,false,false,anthropic,prose,ok,
commit,doc: update or remove dead external links.,,,false,false,false,false,false,none,none,ok,
commit,don't clear pendingrecoveryconflicts at end of transaction,,,false,false,false,false,false,none,none,not AI,
commit,export subxip[] for snapshots taken during recovery.,,,true,true,false,false,false,anthropic,prose,wrong roles,
commit,fix assorted places that need to use palloc_array().,,,true,false,false,false,false,other,trailer,ok,"We're inconsistent about how we categorize model-vendor with xint. I think it should be ""other"", not ""unspecified""."
commit,fix comment that was missing a word.,,,false,false,false,false,false,none,none,ok,
commit,fix create index concurrently example,,,false,false,false,false,false,none,none,ok,
commit,fix gin posting tree page deletion with incomplete splits.,,,true,false,true,false,false,anthropic,prose,ok,
commit,"fix integer overflow in array_agg(), when the array grows too large",,,true,false,false,false,false,other,trailer,ok,
commit,fix integer-overflow and alignment hazards in locale-related code.,,,true,false,false,false,false,other,trailer,wrong roles,"Need to be consistent about how we report issues from xint code, in other cases they were categorized as ""model_ai_found"". Also need to categorize with a vendor."
commit,fix multirange type handling in pg_restore_attribute_stats(),,,false,false,true,false,false,openai,trailer,wrong roles,
commit,fix out-of-bounds write in ri fast-path batch on re-entry,,,false,false,false,false,false,none,none,ok,
commit,fix overflows with ts_headline(),,,true,false,false,false,false,other,trailer,ok,
commit,fix portability issue in test indirect_toast,,,false,false,false,false,false,none,none,not AI,
commit,fix unbounded recursive handling of ssl/gss in processstartuppacket(),,,true,false,false,false,false,anthropic,trailer,ok,
commit,fix uuid sortability tests in base32hex encoding.,,,false,false,false,false,false,none,none,not AI,
commit,"guard against overflow in ""left"" fields of query_int and ltxtquery.",,,true,false,false,false,false,other,trailer,wrong roles,
commit,guard against overlength time zone abbreviations in to_char().,,,true,false,false,false,false,openai,trailer,ok,
commit,guard against overly-long numeric formatting symbols from locale.,,,true,false,false,false,false,other,trailer,ok,Xint is a an AI vulnerability analysis platform
commit,harmonize function parameter names for postgres 17.,,,false,false,false,false,false,none,none,not AI,"clang-tidy which helped write it isn't AI, it's just a normal linter"
commit,harmonize function parameter names for postgres 18.,,,false,false,false,false,false,none,none,not AI,
commit,harmonize function parameter names for postgres 19.,,,false,false,false,false,false,none,none,not AI,
commit,harmonize pg_bsd_indent parameter names.,,,false,false,false,false,false,none,none,not AI,"clang-tidy which helped write it isn't AI, it's just a normal linter"
commit,improving handling of oversized records in xlogreader.c,,,false,false,false,false,false,none,none,not AI,
commit,make palloc_array() and friends safe against integer overflow.,,,true,false,false,false,false,other,trailer,wrong roles,
commit,make plperl's handling of perl arrays safer and more consistent.,,,true,false,false,false,false,anthropic,trailer,ok,
commit,obstruct extract() field name deparse injection.,,,true,false,false,false,false,anthropic,trailer,ok,
commit,perform join removal by editing the query's jointree.,,,false,false,true,false,false,anthropic,prose,ok,
commit,"pg_dump, pg_dumpall, pg_restore: add --no-policies option.",,,false,false,false,false,false,none,none,ok,
commit,pg_dump: remove dead code in tap tests,,,false,false,false,false,false,none,none,ok,
commit,pg_stat_statements: add counters for generic and custom plans,,,false,false,false,false,false,none,none,ok,
commit,prevent buffer overrun in spell.c's checkaffix().,,,true,false,false,false,false,unspecified,prose,wrong roles,
commit,prevent buffer overrun in unicode_normalize().,,,true,false,false,false,false,other,trailer,wrong roles,
commit,prevent premature nbtree array advancement.,,,false,false,false,false,false,none,none,ok,
commit,refint: fix sql injection and buffer overruns.,,,false,false,false,false,false,none,none,ok,
commit,reject calls from sql to functions that take or return type internal.,,,true,false,false,false,false,openai,trailer,ok,
commit,remove recovery.signal at recovery end when both signal files are present.,,,false,false,false,false,false,none,none,ok,
commit,"return nulls honestly in aggregate ""combine"" functions.",,,true,false,false,false,false,openai,trailer,ok,
commit,tighten up tsqueryrecv().,,,true,false,false,false,false,anthropic,trailer,wrong roles,
commit,track ri fast-path fk-check batches per subtransaction,,,false,false,false,false,false,none,none,ok,
commit,use explicit fetching for digests in cryptohash (openssl >= 3.0),,,false,false,true,false,false,unspecified,prose,ok,
commit,use more strlcpy() in two-phase transaction code,,,false,false,false,false,true,unspecified,prose,ok,
commit,walsummarizer: guard against wal files whose tail ends are not valid.,,,false,true,false,false,false,anthropic,trailer,ok,
thread,,pgsql-bugs,17721-a660b93948b165a7@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,17753-9c8773631747ee1c@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,18045-7cfae9d3da6a21a6@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,18244-8a7897de2acd5a08@postgresql.org,false,false,false,false,false,none,none,not AI,"The email domain of the sender being ""postgres.ai"" doesn't mean AI is relevant for this message thread."
thread,,pgsql-bugs,18387-12041858d9efb6f6@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,18388-836d64327e284042@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,19392-d713ae74a25d81de@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,19448-c3b2e108ec2a93b0@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,19553-4561747f93f368a7@postgresql.org,false,true,false,false,false,anthropic,prose,ok,
thread,,pgsql-bugs,19560-54cd7ede78d5e355@postgresql.org,false,true,false,false,false,anthropic,prose,ok,
thread,,pgsql-bugs,19562-9d41f689d05188c3@postgresql.org,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,ANM2Wyhl66VMeL4PfgAA4Quozz-NM9Q3j0OFpyxDIwlUQ8392QerkipA3xniJ7GaJIKF3Gd6X1wDw95bXkdP_8VdFK5etQmb1AoDkzvbAak=@proton.me,false,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-bugs,BL0PR05MB66282A9070EE621D031C27C7F3CE9@BL0PR05MB6628.namprd05.prod.outlook.com,false,false,false,false,false,none,none,not AI,"This is just mentioning that SAS is a company that sells AI-related products, among other things. Neither AI nor LLMs have anything to do with this email."
thread,,pgsql-bugs,CACq0ybaVS8v2ouZfSJuSHX9bvgt=sJkwj=OYTzuv9UVxJN95fw@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,CAEGfZUxo6taAD-Jgg-C9YVktn+TmrEOhQ3pk=+=gx7Ch4XkW-g@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,CAHb3yJOPoSsXV6UCpjT5rRDUeJvDNBX+U3hsKdetBkC9v8Q26A@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,CAO+_mTQgQyTYwDh=U8iTnsDmOGyWsZJjUV31SmEYwmw6_xY6Bw@mail.gmail.com,false,true,false,false,false,anthropic,prose,ok,
thread,,pgsql-bugs,CAOYmi+=KTLd+XsEP=TDiZ48iVf-CEc7JrZd5uhWPYWKEfOgyyQ@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,CAPN2Tsy5U1j8ryOU30zsCz1RzF-AqxO+feEpP23nNHUXNyAB7Q@mail.gmail.com,false,false,false,false,false,none,none,not AI,"Zen is a healthcare company and they have an integration platform called ""Gemini"" that has nothing to do with Google Gemini. Zen's Gemini is not AI nor LLMs."
thread,,pgsql-bugs,DB7PR08MB3306D503A97B7DC99AB2852794AA9@DB7PR08MB3306.eurprd08.prod.outlook.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-bugs,YQBPR0101MB89738FB972FBD02A3640C6D3D6C92@YQBPR0101MB8973.CANPRD01.PROD.OUTLOOK.COM,false,false,false,true,false,anthropic,prose,wrong roles,
thread,,pgsql-bugs,YT1PR01MB89697C2E2CC44098A0FA35ACD6A72@YT1PR01MB8969.CANPRD01.PROD.OUTLOOK.COM,false,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,20230422000723.GB1527017@nathanxps13,false,false,false,false,true,unspecified,prose,ok,"Vendor should be ""unspecified"" not none. The post is just suggesting a Postgres enhancement that would be useful with AI and LLMs in the future - but neither the post itself nor the patch attached were created with AI."
thread,,pgsql-hackers,20260630173053.51.noahmisch@microsoft.com,true,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,20260705210533.ee.noahmisch@microsoft.com,false,false,true,true,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,20260710045217.f0.noahmisch@microsoft.com,true,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,20260710195902.4f.noahmisch@microsoft.com,true,false,false,true,false,anthropic,prose,ok,
thread,,pgsql-hackers,20260826221526.89.noahmisch@microsoft.com,true,false,false,true,false,anthropic,prose,ok,
thread,,pgsql-hackers,20260826225510.10.noahmisch@microsoft.com,true,false,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,20260827015242.54.noahmisch@microsoft.com,false,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,20260827171830.68.noahmisch@microsoft.com,false,true,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,20260827231757.78.noahmisch@microsoft.com,true,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,28b67c58-bb49-42cd-9014-d4ef2601f946@gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,427b5a91-5233-4f2f-b7c3-a3c7790135f8@bushwhackers.ru,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,492c6247-43d3-477b-8981-fb0c56767b38@app.fastmail.com,true,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,569769.1786901901@sss.pgh.pa.us,false,false,false,true,false,anthropic,prose,ok,
