match_order,category,pattern
1,Security hardening (no CVE),memory[- ]safety
2,Security hardening (no CVE),buffer (overflow|overrun|over-?read)
3,Security hardening (no CVE),out-of-bounds
4,Security hardening (no CVE),\binjection\b
5,Security hardening (no CVE),\buntrusted\b
6,Security hardening (no CVE),prevent access to other sessions
7,Security hardening (no CVE),privilege escalation
8,Security hardening (no CVE),unauthorized
9,Security hardening (no CVE),defend against
10,Crash & corruption,\bcrash
11,Crash & corruption,assertion
12,Crash & corruption,corrupt
13,Crash & corruption,data loss
14,Crash & corruption,\bhang\b|\bhangs\b|\bhung\b
15,Crash & corruption,deadlock
16,Crash & corruption,segfault|segmentation
17,Crash & corruption,infinite loop|endless loop
18,Crash & corruption,memory leak|leak of|leaks\b
19,Crash & corruption,stack overflow
20,Crash & corruption,double free|use-after-free
21,Crash & corruption,race condition
22,Crash & corruption,\bPANIC\b
23,Crash & corruption,failure to detect|lost\b.*\b(rows|data|tuples)
24,Wrong results & planner,incorrect (result|output|answer|value|count|calculation|rounding|comparison|matching|evaluation)
25,Wrong results & planner,wrong (result|output|answer|value|count|plan|order|rows|data)
26,Wrong results & planner,miscalculat|misestimat|mis-estimat
27,Wrong results & planner,produce[sd]? (the )?wrong
28,Wrong results & planner,give[sn]? (the )?wrong
29,Wrong results & planner,return[sed]* (the )?(wrong|incorrect)
30,Wrong results & planner,join removal
31,Wrong results & planner,partition pruning
32,Wrong results & planner,\bplanner\b
33,Wrong results & planner,\boptimizer\b
34,Wrong results & planner,equivalence
35,Wrong results & planner,selectivity
36,Replication & recovery,replicat
37,Replication & recovery,\bWAL\b|write-ahead
38,Replication & recovery,standby
39,Replication & recovery,logical decoding
40,Replication & recovery,recovery
41,Replication & recovery,checkpoint
42,Replication & recovery,archiv
43,Replication & recovery,walsender|walreceiver
44,Replication & recovery,subscriber|subscription|publisher|publication
45,Replication & recovery,two-phase|prepared transaction
46,Replication & recovery,\bslot\b|replication slot
47,Replication & recovery,hot standby|point-in-time
48,Replication & recovery,pg_rewind|pg_basebackup|pg_waldump|pg_receivewal|pg_verifybackup
49,Client tools,\bpsql\b
50,Client tools,pg_dump|pg_restore|pg_dumpall
51,Client tools,pg_upgrade
52,Client tools,pgbench
53,Client tools,libpq
54,Client tools,\becpg\b|\bECPG\b
55,Client tools,pg_ctl|initdb|pg_checksums|pg_resetwal|pg_controldata|pg_amcheck|pg_isready
56,Client tools,vacuumdb|reindexdb|clusterdb|createdb|dropdb|createuser|dropuser
57,Extensions & contrib,postgres_fdw|file_fdw|dblink
58,Extensions & contrib,pgcrypto|pg_stat_statements|pg_trgm|pg_prewarm|pg_visibility|pg_walinspect
59,Extensions & contrib,\bcontrib\b
60,Extensions & contrib,btree_gist|btree_gin|ltree|hstore|citext|intarray|isn\b|seg\b|cube\b
61,Extensions & contrib,amcheck|pageinspect|pgstattuple|pg_freespacemap|pg_buffercache
62,Extensions & contrib,sepgsql|passwordcheck|auto_explain|pg_surgery|adminpack|earthdistance|tablefunc
63,Extensions & contrib,\bPL/Perl\b|plperl|\bPL/Python\b|plpython|\bPL/Tcl\b|pltcl
64,Performance,performance
65,Performance,\bslow\b|slowness|slowdown
66,Performance,speed up|speedup
67,Performance,inefficien
68,Performance,excessive (time|memory|cpu)
69,Performance,O\(N
70,Build & platform,\bbuild\b|\bbuilding\b|compil|\bmeson\b|configure script|makefile|pgxs
71,Build & platform,MSVC|MinGW|mingw|Visual Studio
72,Build & platform,OpenSSL
73,Build & platform,\bWindows\b|\bmacOS\b|\bSolaris\b|\bAIX\b|\bCygwin\b|illumos|NetBSD|OpenBSD|FreeBSD
74,Build & platform,\bARM\b|\bLLVM\b|\bgcc\b|\bclang\b
75,Build & platform,\bICU\b|locale|collation version
76,Build & platform,\bJIT\b
